english,spanish,portuguese,example_en,example_es,example_pt,source,tags
intervention group,grupo de intervención,grupo de intervenção,The authors described intervention group in the methods and results sections.,Los autores describieron grupo de intervención en las secciones de métodos y resultados.,Os autores descreveram grupo de intervenção nas seções de métodos e resultados.,Medical exam-style example,study
control group,grupo control,grupo controle,The authors described control group in the methods and results sections.,Los autores describieron grupo control en las secciones de métodos y resultados.,Os autores descreveram grupo controle nas seções de métodos e resultados.,Medical exam-style example,study
placebo,placebo,placebo,The authors described placebo in the methods and results sections.,Los autores describieron placebo en las secciones de métodos y resultados.,Os autores descreveram placebo nas seções de métodos e resultados.,Medical exam-style example,study
blinded,enmascarado / cegado,cego / mascarado,The condition was described as blinded in the final report.,La condición fue descrita como enmascarado / cegado en el informe final.,A condição foi descrita como cego / mascarado no relatório final.,Medical exam-style example,adjective
double-blind,doble ciego,duplo-cego,The condition was described as double-blind in the final report.,La condición fue descrita como doble ciego en el informe final.,A condição foi descrita como duplo-cego no relatório final.,Medical exam-style example,adjective
open-label,abierto / sin cegamiento,aberto / sem cegamento,The condition was described as open-label in the final report.,La condición fue descrita como abierto / sin cegamiento en el informe final.,A condição foi descrita como aberto / sem cegamento no relatório final.,Medical exam-style example,adjective
allocation,asignación,alocação,The authors described allocation in the methods and results sections.,Los autores describieron asignación en las secciones de métodos y resultados.,Os autores descreveram alocação nas seções de métodos e resultados.,Medical exam-style example,study
randomisation,aleatorización,randomização,The authors described randomisation in the methods and results sections.,Los autores describieron aleatorización en las secciones de métodos y resultados.,Os autores descreveram randomização nas seções de métodos e resultados.,Medical exam-style example,study
enrolment,reclutamiento / inclusión,recrutamento / inclusão,The authors described enrolment in the methods and results sections.,Los autores describieron reclutamiento / inclusión en las secciones de métodos y resultados.,Os autores descreveram recrutamento / inclusão nas seções de métodos e resultados.,Medical exam-style example,study
screening,tamizaje / cribado,triagem / rastreamento,The authors described screening in the methods and results sections.,Los autores describieron tamizaje / cribado en las secciones de métodos y resultados.,Os autores descreveram triagem / rastreamento nas seções de métodos e resultados.,Medical exam-style example,study
inclusion criteria,criterios de inclusión,critérios de inclusão,The authors described inclusion criteria in the methods and results sections.,Los autores describieron criterios de inclusión en las secciones de métodos y resultados.,Os autores descreveram critérios de inclusão nas seções de métodos e resultados.,Medical exam-style example,study
exclusion criteria,criterios de exclusión,critérios de exclusão,The authors described exclusion criteria in the methods and results sections.,Los autores describieron criterios de exclusión en las secciones de métodos y resultados.,Os autores descreveram critérios de exclusão nas seções de métodos e resultados.,Medical exam-style example,study
baseline,valor basal / inicial,valor basal / inicial,The authors described baseline in the methods and results sections.,Los autores describieron valor basal / inicial en las secciones de métodos y resultados.,Os autores descreveram valor basal / inicial nas seções de métodos e resultados.,Medical exam-style example,study
endpoint,criterio de valoración / desenlace,desfecho / endpoint,The authors described endpoint in the methods and results sections.,Los autores describieron criterio de valoración / desenlace en las secciones de métodos y resultados.,Os autores descreveram desfecho / endpoint nas seções de métodos e resultados.,Medical exam-style example,study
primary endpoint,desenlace primario,desfecho primário,The authors described primary endpoint in the methods and results sections.,Los autores describieron desenlace primario en las secciones de métodos y resultados.,Os autores descreveram desfecho primário nas seções de métodos e resultados.,Medical exam-style example,study
secondary endpoint,desenlace secundario,desfecho secundário,The authors described secondary endpoint in the methods and results sections.,Los autores describieron desenlace secundario en las secciones de métodos y resultados.,Os autores descreveram desfecho secundário nas seções de métodos e resultados.,Medical exam-style example,study
composite endpoint,desenlace compuesto,desfecho composto,The authors described composite endpoint in the methods and results sections.,Los autores describieron desenlace compuesto en las secciones de métodos y resultados.,Os autores descreveram desfecho composto nas seções de métodos e resultados.,Medical exam-style example,study
adverse event,evento adverso,evento adverso,The report discusses adverse event in hospitalised patients.,El informe analiza evento adverso en pacientes hospitalizados.,O relatório analisa evento adverso em pacientes hospitalizados.,Medical exam-style example,clinical
serious adverse event,evento adverso grave,evento adverso grave,The report discusses serious adverse event in hospitalised patients.,El informe analiza evento adverso grave en pacientes hospitalizados.,O relatório analisa evento adverso grave em pacientes hospitalizados.,Medical exam-style example,clinical
side effect,efecto secundario,efeito colateral,The report discusses side effect in hospitalised patients.,El informe analiza efecto secundario en pacientes hospitalizados.,O relatório analisa efeito colateral em pacientes hospitalizados.,Medical exam-style example,clinical
tolerability,tolerabilidad,tolerabilidade,The authors described tolerability in the methods and results sections.,Los autores describieron tolerabilidad en las secciones de métodos y resultados.,Os autores descreveram tolerabilidade nas seções de métodos e resultados.,Medical exam-style example,study
effectiveness,efectividad,efetividade,The authors described effectiveness in the methods and results sections.,Los autores describieron efectividad en las secciones de métodos y resultados.,Os autores descreveram efetividade nas seções de métodos e resultados.,Medical exam-style example,study
association,asociación,associação,The authors described association in the methods and results sections.,Los autores describieron asociación en las secciones de métodos y resultados.,Os autores descreveram associação nas seções de métodos e resultados.,Medical exam-style example,study
correlation,correlación,correlação,The authors described correlation in the methods and results sections.,Los autores describieron correlación en las secciones de métodos y resultados.,Os autores descreveram correlação nas seções de métodos e resultados.,Medical exam-style example,study
causation,causalidad,causalidade,The authors described causation in the methods and results sections.,Los autores describieron causalidad en las secciones de métodos y resultados.,Os autores descreveram causalidade nas seções de métodos e resultados.,Medical exam-style example,study
bias,sesgo,viés,The authors described bias in the methods and results sections.,Los autores describieron sesgo en las secciones de métodos y resultados.,Os autores descreveram viés nas seções de métodos e resultados.,Medical exam-style example,study
selection bias,sesgo de selección,viés de seleção,The authors described selection bias in the methods and results sections.,Los autores describieron sesgo de selección en las secciones de métodos y resultados.,Os autores descreveram viés de seleção nas seções de métodos e resultados.,Medical exam-style example,study
confounding,confusión,confusão,The authors described confounding in the methods and results sections.,Los autores describieron confusión en las secciones de métodos y resultados.,Os autores descreveram confusão nas seções de métodos e resultados.,Medical exam-style example,study
confounder,factor de confusión,fator de confusão,The authors described confounder in the methods and results sections.,Los autores describieron factor de confusión en las secciones de métodos y resultados.,Os autores descreveram fator de confusão nas seções de métodos e resultados.,Medical exam-style example,study
validity,validez,validade,The authors described validity in the methods and results sections.,Los autores describieron validez en las secciones de métodos y resultados.,Os autores descreveram validade nas seções de métodos e resultados.,Medical exam-style example,study
reliability,fiabilidad / confiabilidad,confiabilidade,The authors described reliability in the methods and results sections.,Los autores describieron fiabilidad / confiabilidad en las secciones de métodos y resultados.,Os autores descreveram confiabilidade nas seções de métodos e resultados.,Medical exam-style example,study
accuracy,exactitud / precisión,acurácia / exatidão,The study reported accuracy for the main clinical outcome.,El estudio informó exactitud / precisión para el principal desenlace clínico.,O estudo relatou acurácia / exatidão para o principal desfecho clínico.,Medical exam-style example,measurement
precision,precisión,precisão,The study reported precision for the main clinical outcome.,El estudio informó precisión para el principal desenlace clínico.,O estudo relatou precisão para o principal desfecho clínico.,Medical exam-style example,measurement
sensitivity,sensibilidad,sensibilidade,The study reported sensitivity for the main clinical outcome.,El estudio informó sensibilidad para el principal desenlace clínico.,O estudo relatou sensibilidade para o principal desfecho clínico.,Medical exam-style example,measurement
specificity,especificidad,especificidade,The study reported specificity for the main clinical outcome.,El estudio informó especificidad para el principal desenlace clínico.,O estudo relatou especificidade para o principal desfecho clínico.,Medical exam-style example,measurement
positive predictive value,valor predictivo positivo,valor preditivo positivo,The study reported positive predictive value for the main clinical outcome.,El estudio informó valor predictivo positivo para el principal desenlace clínico.,O estudo relatou valor preditivo positivo para o principal desfecho clínico.,Medical exam-style example,measurement
negative predictive value,valor predictivo negativo,valor preditivo negativo,The study reported negative predictive value for the main clinical outcome.,El estudio informó valor predictivo negativo para el principal desenlace clínico.,O estudo relatou valor preditivo negativo para o principal desfecho clínico.,Medical exam-style example,measurement
likelihood ratio,razón de verosimilitud,razão de verossimilhança,The study reported likelihood ratio for the main clinical outcome.,El estudio informó razón de verosimilitud para el principal desenlace clínico.,O estudo relatou razão de verossimilhança para o principal desfecho clínico.,Medical exam-style example,measurement
confidence interval,intervalo de confianza,intervalo de confiança,The study reported confidence interval for the main clinical outcome.,El estudio informó intervalo de confianza para el principal desenlace clínico.,O estudo relatou intervalo de confiança para o principal desfecho clínico.,Medical exam-style example,measurement
statistical significance,significación estadística,significância estatística,The study reported statistical significance for the main clinical outcome.,El estudio informó significación estadística para el principal desenlace clínico.,O estudo relatou significância estatística para o principal desfecho clínico.,Medical exam-style example,measurement
p value,valor de p,valor de p,The study reported p value for the main clinical outcome.,El estudio informó valor de p para el principal desenlace clínico.,O estudo relatou valor de p para o principal desfecho clínico.,Medical exam-style example,measurement
relative risk,riesgo relativo,risco relativo,The study reported relative risk for the main clinical outcome.,El estudio informó riesgo relativo para el principal desenlace clínico.,O estudo relatou risco relativo para o principal desfecho clínico.,Medical exam-style example,measurement
absolute risk,riesgo absoluto,risco absoluto,The study reported absolute risk for the main clinical outcome.,El estudio informó riesgo absoluto para el principal desenlace clínico.,O estudo relatou risco absoluto para o principal desfecho clínico.,Medical exam-style example,measurement
odds ratio,razón de momios / odds ratio,odds ratio / razão de chances,The study reported odds ratio for the main clinical outcome.,El estudio informó razón de momios / odds ratio para el principal desenlace clínico.,O estudo relatou odds ratio / razão de chances para o principal desfecho clínico.,Medical exam-style example,measurement
hazard ratio,razón de riesgos instantáneos,hazard ratio / razão de riscos,The study reported hazard ratio for the main clinical outcome.,El estudio informó razón de riesgos instantáneos para el principal desenlace clínico.,O estudo relatou hazard ratio / razão de riscos para o principal desfecho clínico.,Medical exam-style example,measurement
incidence,incidencia,incidência,The study reported incidence for the main clinical outcome.,El estudio informó incidencia para el principal desenlace clínico.,O estudo relatou incidência para o principal desfecho clínico.,Medical exam-style example,measurement
prevalence,prevalencia,prevalência,The study reported prevalence for the main clinical outcome.,El estudio informó prevalencia para el principal desenlace clínico.,O estudo relatou prevalência para o principal desfecho clínico.,Medical exam-style example,measurement
rate,tasa,taxa,The study reported rate for the main clinical outcome.,El estudio informó tasa para el principal desenlace clínico.,O estudo relatou taxa para o principal desfecho clínico.,Medical exam-style example,measurement
ratio,razón / proporción,razão / proporção,The study reported ratio for the main clinical outcome.,El estudio informó razón / proporción para el principal desenlace clínico.,O estudo relatou razão / proporção para o principal desfecho clínico.,Medical exam-style example,measurement
mean,media,média,The study reported mean for the main clinical outcome.,El estudio informó media para el principal desenlace clínico.,O estudo relatou média para o principal desfecho clínico.,Medical exam-style example,measurement
median,mediana,mediana,The study reported median for the main clinical outcome.,El estudio informó mediana para el principal desenlace clínico.,O estudo relatou mediana para o principal desfecho clínico.,Medical exam-style example,measurement
range,rango / intervalo,amplitude / intervalo,The study reported range for the main clinical outcome.,El estudio informó rango / intervalo para el principal desenlace clínico.,O estudo relatou amplitude / intervalo para o principal desfecho clínico.,Medical exam-style example,measurement
standard deviation,desviación estándar,desvio padrão,The study reported standard deviation for the main clinical outcome.,El estudio informó desviación estándar para el principal desenlace clínico.,O estudo relatou desvio padrão para o principal desfecho clínico.,Medical exam-style example,measurement
variance,varianza,variância,The study reported variance for the main clinical outcome.,El estudio informó varianza para el principal desenlace clínico.,O estudo relatou variância para o principal desfecho clínico.,Medical exam-style example,measurement
distribution,distribución,distribuição,The study reported distribution for the main clinical outcome.,El estudio informó distribución para el principal desenlace clínico.,O estudo relatou distribuição para o principal desfecho clínico.,Medical exam-style example,measurement
trend,tendencia,tendência,The study reported trend for the main clinical outcome.,El estudio informó tendencia para el principal desenlace clínico.,O estudo relatou tendência para o principal desfecho clínico.,Medical exam-style example,measurement
difference,diferencia,diferença,The study reported difference for the main clinical outcome.,El estudio informó diferencia para el principal desenlace clínico.,O estudo relatou diferença para o principal desfecho clínico.,Medical exam-style example,measurement
significant difference,diferencia significativa,diferença significativa,The study reported significant difference for the main clinical outcome.,El estudio informó diferencia significativa para el principal desenlace clínico.,O estudo relatou diferença significativa para o principal desfecho clínico.,Medical exam-style example,measurement
risk factor,factor de riesgo,fator de risco,The report discusses risk factor in hospitalised patients.,El informe analiza factor de riesgo en pacientes hospitalizados.,O relatório analisa fator de risco em pacientes hospitalizados.,Medical exam-style example,clinical
protective factor,factor protector,fator protetor,The report discusses protective factor in hospitalised patients.,El informe analiza factor protector en pacientes hospitalizados.,O relatório analisa fator protetor em pacientes hospitalizados.,Medical exam-style example,clinical
comorbidity,comorbilidad,comorbidade,The report discusses comorbidity in hospitalised patients.,El informe analiza comorbilidad en pacientes hospitalizados.,O relatório analisa comorbidade em pacientes hospitalizados.,Medical exam-style example,clinical
underlying disease,enfermedad subyacente,doença de base,The report discusses underlying disease in hospitalised patients.,El informe analiza enfermedad subyacente en pacientes hospitalizados.,O relatório analisa doença de base em pacientes hospitalizados.,Medical exam-style example,clinical
medical history,antecedentes médicos,histórico médico,The report discusses medical history in hospitalised patients.,El informe analiza antecedentes médicos en pacientes hospitalizados.,O relatório analisa histórico médico em pacientes hospitalizados.,Medical exam-style example,clinical
family history,antecedentes familiares,histórico familiar,The report discusses family history in hospitalised patients.,El informe analiza antecedentes familiares en pacientes hospitalizados.,O relatório analisa histórico familiar em pacientes hospitalizados.,Medical exam-style example,clinical
physical examination,examen físico,exame físico,The report discusses physical examination in hospitalised patients.,El informe analiza examen físico en pacientes hospitalizados.,O relatório analisa exame físico em pacientes hospitalizados.,Medical exam-style example,clinical
laboratory test,prueba de laboratorio,exame laboratorial,The report discusses laboratory test in hospitalised patients.,El informe analiza prueba de laboratorio en pacientes hospitalizados.,O relatório analisa exame laboratorial em pacientes hospitalizados.,Medical exam-style example,clinical
imaging test,estudio por imágenes,exame de imagem,The report discusses imaging test in hospitalised patients.,El informe analiza estudio por imágenes en pacientes hospitalizados.,O relatório analisa exame de imagem em pacientes hospitalizados.,Medical exam-style example,clinical
diagnosis,diagnóstico,diagnóstico,The report discusses diagnosis in hospitalised patients.,El informe analiza diagnóstico en pacientes hospitalizados.,O relatório analisa diagnóstico em pacientes hospitalizados.,Medical exam-style example,clinical
differential diagnosis,diagnóstico diferencial,diagnóstico diferencial,The report discusses differential diagnosis in hospitalised patients.,El informe analiza diagnóstico diferencial en pacientes hospitalizados.,O relatório analisa diagnóstico diferencial em pacientes hospitalizados.,Medical exam-style example,clinical
screening test,prueba de cribado / tamizaje,teste de rastreamento,The report discusses screening test in hospitalised patients.,El informe analiza prueba de cribado / tamizaje en pacientes hospitalizados.,O relatório analisa teste de rastreamento em pacientes hospitalizados.,Medical exam-style example,clinical
diagnostic test,prueba diagnóstica,teste diagnóstico,The report discusses diagnostic test in hospitalised patients.,El informe analiza prueba diagnóstica en pacientes hospitalizados.,O relatório analisa teste diagnóstico em pacientes hospitalizados.,Medical exam-style example,clinical
prognosis,pronóstico,prognóstico,The report discusses prognosis in hospitalised patients.,El informe analiza pronóstico en pacientes hospitalizados.,O relatório analisa prognóstico em pacientes hospitalizados.,Medical exam-style example,clinical
severity,gravedad,gravidade,The report discusses severity in hospitalised patients.,El informe analiza gravedad en pacientes hospitalizados.,O relatório analisa gravidade em pacientes hospitalizados.,Medical exam-style example,clinical
mild,leve,leve,The condition was described as mild in the final report.,La condición fue descrita como leve en el informe final.,A condição foi descrita como leve no relatório final.,Medical exam-style example,adjective
moderate,moderado,moderado,The condition was described as moderate in the final report.,La condición fue descrita como moderado en el informe final.,A condição foi descrita como moderado no relatório final.,Medical exam-style example,adjective
severe,grave,grave,The condition was described as severe in the final report.,La condición fue descrita como grave en el informe final.,A condição foi descrita como grave no relatório final.,Medical exam-style example,adjective
critical,crítico,crítico,The condition was described as critical in the final report.,La condición fue descrita como crítico en el informe final.,A condição foi descrita como crítico no relatório final.,Medical exam-style example,adjective
stable,estable,estável,The condition was described as stable in the final report.,La condición fue descrita como estable en el informe final.,A condição foi descrita como estável no relatório final.,Medical exam-style example,adjective
unstable,inestable,instável,The condition was described as unstable in the final report.,La condición fue descrita como inestable en el informe final.,A condição foi descrita como instável no relatório final.,Medical exam-style example,adjective
acute,agudo,agudo,The condition was described as acute in the final report.,La condición fue descrita como agudo en el informe final.,A condição foi descrita como agudo no relatório final.,Medical exam-style example,adjective
chronic,crónico,crônico,The condition was described as chronic in the final report.,La condición fue descrita como crónico en el informe final.,A condição foi descrita como crônico no relatório final.,Medical exam-style example,adjective
recurrent,recurrente,recorrente,The condition was described as recurrent in the final report.,La condición fue descrita como recurrente en el informe final.,A condição foi descrita como recorrente no relatório final.,Medical exam-style example,adjective
persistent,persistente,persistente,The condition was described as persistent in the final report.,La condición fue descrita como persistente en el informe final.,A condição foi descrita como persistente no relatório final.,Medical exam-style example,adjective
transient,transitorio,transitório,The condition was described as transient in the final report.,La condición fue descrita como transitorio en el informe final.,A condição foi descrita como transitório no relatório final.,Medical exam-style example,adjective
asymptomatic,asintomático,assintomático,The condition was described as asymptomatic in the final report.,La condición fue descrita como asintomático en el informe final.,A condição foi descrita como assintomático no relatório final.,Medical exam-style example,adjective
symptomatic,sintomático,sintomático,The condition was described as symptomatic in the final report.,La condición fue descrita como sintomático en el informe final.,A condição foi descrita como sintomático no relatório final.,Medical exam-style example,adjective
onset,inicio,início,The report discusses onset in hospitalised patients.,El informe analiza inicio en pacientes hospitalizados.,O relatório analisa início em pacientes hospitalizados.,Medical exam-style example,clinical
sudden onset,inicio súbito,início súbito,The report discusses sudden onset in hospitalised patients.,El informe analiza inicio súbito en pacientes hospitalizados.,O relatório analisa início súbito em pacientes hospitalizados.,Medical exam-style example,clinical
gradual onset,inicio gradual,início gradual,The report discusses gradual onset in hospitalised patients.,El informe analiza inicio gradual en pacientes hospitalizados.,O relatório analisa início gradual em pacientes hospitalizados.,Medical exam-style example,clinical
symptom,síntoma,sintoma,The report discusses symptom in hospitalised patients.,El informe analiza síntoma en pacientes hospitalizados.,O relatório analisa sintoma em pacientes hospitalizados.,Medical exam-style example,clinical
sign,signo,sinal,The report discusses sign in hospitalised patients.,El informe analiza signo en pacientes hospitalizados.,O relatório analisa sinal em pacientes hospitalizados.,Medical exam-style example,clinical
complaint,queja / motivo de consulta,queixa / motivo da consulta,The report discusses complaint in hospitalised patients.,El informe analiza queja / motivo de consulta en pacientes hospitalizados.,O relatório analisa queixa / motivo da consulta em pacientes hospitalizados.,Medical exam-style example,clinical
pain,dolor,dor,The report discusses pain in hospitalised patients.,El informe analiza dolor en pacientes hospitalizados.,O relatório analisa dor em pacientes hospitalizados.,Medical exam-style example,clinical
chest pain,dolor torácico,dor torácica,The report discusses chest pain in hospitalised patients.,El informe analiza dolor torácico en pacientes hospitalizados.,O relatório analisa dor torácica em pacientes hospitalizados.,Medical exam-style example,clinical
abdominal pain,dolor abdominal,dor abdominal,The report discusses abdominal pain in hospitalised patients.,El informe analiza dolor abdominal en pacientes hospitalizados.,O relatório analisa dor abdominal em pacientes hospitalizados.,Medical exam-style example,clinical
headache,cefalea / dolor de cabeza,cefaleia / dor de cabeça,The report discusses headache in hospitalised patients.,El informe analiza cefalea / dolor de cabeza en pacientes hospitalizados.,O relatório analisa cefaleia / dor de cabeça em pacientes hospitalizados.,Medical exam-style example,clinical
fever,fiebre,febre,The report discusses fever in hospitalised patients.,El informe analiza fiebre en pacientes hospitalizados.,O relatório analisa febre em pacientes hospitalizados.,Medical exam-style example,clinical
cough,tos,tosse,The report discusses cough in hospitalised patients.,El informe analiza tos en pacientes hospitalizados.,O relatório analisa tosse em pacientes hospitalizados.,Medical exam-style example,clinical
shortness of breath,disnea / falta de aire,dispneia / falta de ar,The report discusses shortness of breath in hospitalised patients.,El informe analiza disnea / falta de aire en pacientes hospitalizados.,O relatório analisa dispneia / falta de ar em pacientes hospitalizados.,Medical exam-style example,clinical
fatigue,fatiga,fadiga,The report discusses fatigue in hospitalised patients.,El informe analiza fatiga en pacientes hospitalizados.,O relatório analisa fadiga em pacientes hospitalizados.,Medical exam-style example,clinical
dizziness,mareo,tontura,The report discusses dizziness in hospitalised patients.,El informe analiza mareo en pacientes hospitalizados.,O relatório analisa tontura em pacientes hospitalizados.,Medical exam-style example,clinical
nausea,náuseas,náusea,The report discusses nausea in hospitalised patients.,El informe analiza náuseas en pacientes hospitalizados.,O relatório analisa náusea em pacientes hospitalizados.,Medical exam-style example,clinical
vomiting,vómitos,vômitos,The report discusses vomiting in hospitalised patients.,El informe analiza vómitos en pacientes hospitalizados.,O relatório analisa vômitos em pacientes hospitalizados.,Medical exam-style example,clinical
diarrhoea,diarrea,diarreia,The report discusses diarrhoea in hospitalised patients.,El informe analiza diarrea en pacientes hospitalizados.,O relatório analisa diarreia em pacientes hospitalizados.,Medical exam-style example,clinical
constipation,estreñimiento,constipação,The report discusses constipation in hospitalised patients.,El informe analiza estreñimiento en pacientes hospitalizados.,O relatório analisa constipação em pacientes hospitalizados.,Medical exam-style example,clinical
loss of appetite,pérdida de apetito,perda de apetite,The report discusses loss of appetite in hospitalised patients.,El informe analiza pérdida de apetito en pacientes hospitalizados.,O relatório analisa perda de apetite em pacientes hospitalizados.,Medical exam-style example,clinical
weight loss,pérdida de peso,perda de peso,The report discusses weight loss in hospitalised patients.,El informe analiza pérdida de peso en pacientes hospitalizados.,O relatório analisa perda de peso em pacientes hospitalizados.,Medical exam-style example,clinical
swelling,hinchazón,inchaço,The report discusses swelling in hospitalised patients.,El informe analiza hinchazón en pacientes hospitalizados.,O relatório analisa inchaço em pacientes hospitalizados.,Medical exam-style example,clinical
oedema,edema,edema,The report discusses oedema in hospitalised patients.,El informe analiza edema en pacientes hospitalizados.,O relatório analisa edema em pacientes hospitalizados.,Medical exam-style example,clinical
rash,erupción cutánea,erupção cutânea,The report discusses rash in hospitalised patients.,El informe analiza erupción cutánea en pacientes hospitalizados.,O relatório analisa erupção cutânea em pacientes hospitalizados.,Medical exam-style example,clinical
itching,prurito / picazón,prurido / coceira,The report discusses itching in hospitalised patients.,El informe analiza prurito / picazón en pacientes hospitalizados.,O relatório analisa prurido / coceira em pacientes hospitalizados.,Medical exam-style example,clinical
fainting,síncope / desmayo,desmaio / síncope,The report discusses fainting in hospitalised patients.,El informe analiza síncope / desmayo en pacientes hospitalizados.,O relatório analisa desmaio / síncope em pacientes hospitalizados.,Medical exam-style example,clinical
seizure,convulsión,convulsão,The report discusses seizure in hospitalised patients.,El informe analiza convulsión en pacientes hospitalizados.,O relatório analisa convulsão em pacientes hospitalizados.,Medical exam-style example,clinical
consciousness,conciencia,consciência,The report discusses consciousness in hospitalised patients.,El informe analiza conciencia en pacientes hospitalizados.,O relatório analisa consciência em pacientes hospitalizados.,Medical exam-style example,clinical
blood pressure,presión arterial,pressão arterial,The report discusses blood pressure in hospitalised patients.,El informe analiza presión arterial en pacientes hospitalizados.,O relatório analisa pressão arterial em pacientes hospitalizados.,Medical exam-style example,clinical
heart rate,frecuencia cardíaca,frequência cardíaca,The report discusses heart rate in hospitalised patients.,El informe analiza frecuencia cardíaca en pacientes hospitalizados.,O relatório analisa frequência cardíaca em pacientes hospitalizados.,Medical exam-style example,clinical
