id,english,spanish,portuguese,example_en,example_es,example_pt,source,tags
card-a2ce0d787f813342,low risk,bajo riesgo,baixo risco,Only patients with a low risk of bleeding were included.,Solo se incluyeron pacientes con bajo riesgo de sangrado.,Foram incluídos apenas pacientes com baixo risco de sangramento.,Adapted from practice text,comparison
card-e5ff8d2b6809d810,higher,más alto / mayor,mais alto / maior,Critically ill patients had a higher risk of death.,Los pacientes críticamente enfermos presentaron un mayor riesgo de muerte.,Pacientes criticamente enfermos apresentaram maior risco de morte.,Practice-style example,comparison
card-8c6fb1e9e37a1aea,lower,más bajo / menor,mais baixo / menor,The intervention group had a lower rate of thrombotic events.,El grupo de intervención tuvo una menor tasa de eventos trombóticos.,O grupo de intervenção teve uma taxa menor de eventos trombóticos.,Practice-style example,comparison
card-6db43d0c4e41d0a0,higher mortality,mayor mortalidad,maior mortalidade,Severe organ dysfunction was associated with higher mortality.,La disfunción orgánica grave se asoció con mayor mortalidad.,A disfunção orgânica grave foi associada a maior mortalidade.,Practice-style example,comparison
card-70319fdd6deb3715,lower mortality,menor mortalidad,menor mortalidade,Early treatment was associated with lower mortality.,El tratamiento temprano se asoció con menor mortalidad.,O tratamento precoce foi associado a menor mortalidade.,Practice-style example,comparison
card-63e0b9393bdbb1ea,most patients,la mayoría de los pacientes,a maioria dos pacientes,Most patients completed the follow-up period.,La mayoría de los pacientes completó el período de seguimiento.,A maioria dos pacientes completou o período de acompanhamento.,Practice-style example,quantity
card-a5b1964172299902,a number of,varios / un número de,vários / um número de,The trial has a number of strengths.,El ensayo clínico tiene varios puntos fuertes.,O ensaio clínico tem vários pontos fortes.,Adapted from practice text,quantity
card-f0bf4494cdb61a13,the number of,el número de,o número de,The number of thrombotic events was lower in the intervention group.,El número de eventos trombóticos fue menor en el grupo de intervención.,O número de eventos trombóticos foi menor no grupo de intervenção.,Practice-style example,quantity
card-2b35ed6944dd2e8f,improve,mejorar,melhorar,Therapeutic-dose heparin did not improve outcomes in critically ill patients.,La heparina en dosis terapéutica no mejoró los desenlaces en pacientes críticamente enfermos.,A heparina em dose terapêutica não melhorou os desfechos em pacientes criticamente enfermos.,Adapted from practice text,verbs
card-4c7e98bfa0c750be,reduce,reducir,reduzir,The treatment may reduce the risk of venous thromboembolism.,El tratamiento puede reducir el riesgo de tromboembolismo venoso.,O tratamento pode reduzir o risco de tromboembolismo venoso.,Practice-style example,verbs
card-e20a548f23fa36bc,increase,aumentar,aumentar,Full-dose anticoagulation may increase bleeding.,La anticoagulación a dosis completa puede aumentar el sangrado.,A anticoagulação em dose plena pode aumentar o sangramento.,Practice-style example,verbs
card-e97469619c0d7aa7,benefit,beneficio,benefício,The clinical benefit was greater in non-critically ill patients.,El beneficio clínico fue mayor en pacientes no críticos.,O benefício clínico foi maior em pacientes não críticos.,Adapted from practice text,results
card-bec2d07a1b569699,beneficial,beneficioso,benéfico,Therapeutic-dose heparin appears beneficial in selected patients.,La heparina en dosis terapéutica parece beneficiosa en pacientes seleccionados.,A heparina em dose terapêutica parece benéfica em pacientes selecionados.,Adapted from practice text,results
card-ee8250fb76e094b3,evidence,evidencia,evidência,Early recommendations were based on limited evidence.,Las recomendaciones iniciales se basaron en evidencia limitada.,As recomendações iniciais foram baseadas em evidências limitadas.,Adapted from practice text,study
card-03ce8b95eb326321,guideline,guía / directriz,diretriz / protocolo,Clinical guidelines changed as new evidence became available.,Las guías clínicas cambiaron a medida que surgió nueva evidencia.,As diretrizes clínicas mudaram à medida que surgiram novas evidências.,Practice-style example,study
card-dbfe937585b4147c,recommendation,recomendación,recomendação,Recommendations were heterogeneous early in the pandemic.,Las recomendaciones eran heterogéneas al inicio de la pandemia.,As recomendações eram heterogêneas no início da pandemia.,Adapted from practice text,study
card-441d56d49f07321a,therapeutic dose,dosis terapéutica,dose terapêutica,Patients in the intervention group received a therapeutic dose of heparin.,Los pacientes del grupo de intervención recibieron una dosis terapéutica de heparina.,Os pacientes do grupo de intervenção receberam uma dose terapêutica de heparina.,Adapted from practice text,treatment
card-517b3fe686bf7df6,prophylactic dose,dosis profiláctica,dose profilática,A prophylactic dose is lower than a therapeutic dose.,Una dosis profiláctica es menor que una dosis terapéutica.,Uma dose profilática é menor que uma dose terapêutica.,Practice-style example,treatment
card-c8df5b22aed79529,anticoagulation,anticoagulación,anticoagulação,Anticoagulation was considered because thrombotic complications were common.,Se consideró la anticoagulación porque las complicaciones trombóticas eran frecuentes.,A anticoagulação foi considerada porque as complicações trombóticas eram comuns.,Adapted from practice text,treatment
card-d629082d18332ede,heparin,heparina,heparina,Heparin was evaluated at therapeutic and prophylactic doses.,La heparina fue evaluada en dosis terapéuticas y profilácticas.,A heparina foi avaliada em doses terapêuticas e profiláticas.,Adapted from practice text,treatment
card-12dc5f50bfd3cf58,thrombotic complications,complicaciones trombóticas,complicações trombóticas,Thrombotic complications are common in patients admitted with COVID-19.,Las complicaciones trombóticas son frecuentes en pacientes internados con COVID-19.,As complicações trombóticas são comuns em pacientes internados com COVID-19.,Adapted from practice text,disease
card-a5795bb1413445b6,venous thromboembolism,tromboembolismo venoso,tromboembolismo venoso,The MICHELLE trial included patients at high risk of venous thromboembolism.,El ensayo MICHELLE incluyó pacientes con alto riesgo de tromboembolismo venoso.,O estudo MICHELLE incluiu pacientes com alto risco de tromboembolismo venoso.,Adapted from practice text,disease
card-345edeb2a7cabd85,organ dysfunction,disfunción orgánica,disfunção orgânica,Microvascular thrombosis may contribute to organ dysfunction.,La trombosis microvascular puede contribuir a la disfunción orgánica.,A trombose microvascular pode contribuir para a disfunção orgânica.,Adapted from practice text,disease
card-52c8e02987ccb1b0,death,muerte,morte,Severe complications may lead to death.,Las complicaciones graves pueden llevar a la muerte.,Complicações graves podem levar à morte.,Practice-style example,outcomes
card-2b18339675891662,mortality,mortalidad,mortalidade,The investigators compared mortality between the two groups.,Los investigadores compararon la mortalidad entre los dos grupos.,Os pesquisadores compararam a mortalidade entre os dois grupos.,Practice-style example,outcomes
card-856e8bd358ece398,safety,seguridad,segurança,The study assessed both efficacy and safety.,El estudio evaluó tanto la eficacia como la seguridad.,O estudo avaliou tanto a eficácia quanto a segurança.,Practice-style example,study
card-c561b3df7bcc7f55,efficacy,eficacia,eficácia,The trial examined the efficacy of extended thromboprophylaxis.,El ensayo examinó la eficacia de la tromboprofilaxis extendida.,O ensaio avaliou a eficácia da tromboprofilaxia prolongada.,Adapted from practice text,study
card-c5bbbeefd2a3e1e6,strengths,puntos fuertes,pontos fortes,"The trial has a number of strengths, including central adjudication.","El ensayo tiene varios puntos fuertes, incluida la adjudicación central.","O ensaio tem vários pontos fortes, incluindo adjudicação central.",Adapted from practice text,study
card-448545189b00ee87,weakness,debilidad / punto débil,fraqueza / ponto fraco,A small sample size can be a weakness of a study.,Un tamaño de muestra pequeño puede ser un punto débil de un estudio.,Um tamanho de amostra pequeno pode ser um ponto fraco de um estudo.,Practice-style example,study
card-cfa5ad96f5be4fc2,excluded,excluido / excluidos,excluído / excluídos,Patients with severe renal failure or thrombocytopenia were excluded.,Los pacientes con insuficiencia renal grave o trombocitopenia fueron excluidos.,Pacientes com insuficiência renal grave ou trombocitopenia foram excluídos.,Adapted from practice text,study
card-7f0f70e643bcb02d,included,incluido / incluidos,incluído / incluídos,The study included adults at increased thrombotic risk.,El estudio incluyó adultos con mayor riesgo trombótico.,O estudo incluiu adultos com risco trombótico aumentado.,Practice-style example,study
card-fc99c152d84713fe,eligible,elegible / apto,elegível / apto,Eligible patients were randomised before hospital discharge.,Los pacientes elegibles fueron aleatorizados antes del alta hospitalaria.,Os pacientes elegíveis foram randomizados antes da alta hospitalar.,Practice-style example,study
card-d3f5c230ecc7599c,follow-up,seguimiento,acompanhamento,Clinical events were recorded during follow-up.,Los eventos clínicos fueron registrados durante el seguimiento.,Os eventos clínicos foram registrados durante o acompanhamento.,Practice-style example,study
card-8aa3c4ce3ccdfe89,findings,hallazgos,achados,The findings support extended prophylaxis in selected patients.,Los hallazgos respaldan la profilaxis extendida en pacientes seleccionados.,Os achados apoiam a profilaxia prolongada em pacientes selecionados.,Practice-style example,results
card-a22f3a3eedf177e0,showed,mostró / demostraron,mostrou / demonstraram,The results showed fewer thrombotic events in the treatment group.,Los resultados mostraron menos eventos trombóticos en el grupo de tratamiento.,Os resultados mostraram menos eventos trombóticos no grupo de tratamento.,Practice-style example,verbs
card-bcc649cfdb8cc557,found,encontró / constató,encontrou / constatou,The investigators found no clear benefit in critically ill patients.,Los investigadores no encontraron un beneficio claro en pacientes críticos.,Os pesquisadores não encontraram benefício claro em pacientes críticos.,Practice-style example,verbs
card-985cfdcf860beb8b,developed,desarrolló / desarrollaron,desenvolveu / desenvolveram,Some patients developed bleeding during treatment.,Algunos pacientes desarrollaron sangrado durante el tratamiento.,Alguns pacientes desenvolveram sangramento durante o tratamento.,Lesson example,verbs
card-d0a3630555bbec7f,required,requirió / necesitó,precisou / necessitou,Critically ill patients often required organ support.,Los pacientes críticamente enfermos a menudo necesitaron soporte orgánico.,Pacientes criticamente enfermos frequentemente necessitaram de suporte orgânico.,Practice-style example,verbs
card-74c0b16c94daee7a,appears,parece,parece,Therapeutic-dose heparin appears beneficial in moderately ill patients.,La heparina en dosis terapéutica parece beneficiosa en pacientes moderadamente enfermos.,A heparina em dose terapêutica parece benéfica em pacientes moderadamente enfermos.,Adapted from practice text,certainty
card-ee4d988c65de860f,may,puede / podría,pode / poderia,Anticoagulation may reduce thrombotic complications.,La anticoagulación puede reducir las complicaciones trombóticas.,A anticoagulação pode reduzir as complicações trombóticas.,Practice-style example,certainty
card-442b7af49162a932,likely,probablemente / probable,provavelmente / provável,Patients at high thrombotic risk are more likely to benefit.,Los pacientes con alto riesgo trombótico tienen mayor probabilidad de beneficiarse.,Pacientes com alto risco trombótico têm maior probabilidade de se beneficiar.,Practice-style example,certainty
card-47951833ecf62117,however,sin embargo,entretanto / porém,"The treatment reduced thrombosis; however, bleeding remained a concern.","El tratamiento redujo la trombosis; sin embargo, el sangrado siguió siendo una preocupación.","O tratamento reduziu a trombose; entretanto, o sangramento continuou sendo uma preocupação.",Practice-style example,connectors
card-2e1d76579d44d7cf,although,aunque,embora,"Although the results were promising, the sample was small.","Aunque los resultados fueron prometedores, la muestra fue pequeña.","Embora os resultados fossem promissores, a amostra era pequena.",Practice-style example,connectors
card-6dbefb4fe02322df,despite,a pesar de,apesar de,"Despite prophylaxis, some patients developed thrombosis.","A pesar de la profilaxis, algunos pacientes desarrollaron trombosis.","Apesar da profilaxia, alguns pacientes desenvolveram trombose.",Practice-style example,connectors
card-bae0db182974fd46,therefore,por lo tanto,portanto,"Thrombotic events were common; therefore, anticoagulation was investigated.","Los eventos trombóticos eran frecuentes; por lo tanto, se investigó la anticoagulación.","Os eventos trombóticos eram comuns; portanto, a anticoagulação foi investigada.",Practice-style example,connectors
card-c3c64750a3ff307c,by contrast,en cambio / por el contrario,em contraste / por outro lado,"By contrast, therapeutic-dose heparin did not improve outcomes in critically ill patients.","En cambio, la heparina en dosis terapéutica no mejoró los desenlaces en pacientes críticamente enfermos.","Por outro lado, a heparina em dose terapêutica não melhorou os desfechos em pacientes criticamente enfermos.",Adapted from practice text,connectors
card-2f96dc4d6cf3fdc2,compared with,comparado con,comparado com,The intervention was compared with standard prophylaxis.,La intervención fue comparada con la profilaxis estándar.,A intervenção foi comparada com a profilaxia padrão.,Practice-style example,connectors
card-f408830bcc7fab37,early,al inicio / temprano,no início / precoce,"Early in the pandemic, recommendations were heterogeneous.","Al inicio de la pandemia, las recomendaciones eran heterogéneas.","No início da pandemia, as recomendações eram heterogêneas.",Adapted from practice text,time
card-6db7d803e74f1ffa,before,antes de,antes de,Risk was assessed before discharge.,El riesgo fue evaluado antes del alta.,O risco foi avaliado antes da alta.,Practice-style example,time
card-f39592393ef0859c,after,después de,depois de / após,Patients received rivaroxaban after discharge.,Los pacientes recibieron rivaroxabán después del alta.,Os pacientes receberam rivaroxabana após a alta.,Adapted from practice text,time
card-76678e40cf8bdb8a,during,durante,durante,Bleeding events were monitored during follow-up.,Los eventos de sangrado fueron monitoreados durante el seguimiento.,Os eventos de sangramento foram monitorados durante o acompanhamento.,Practice-style example,time
card-1216b2a88975f9d3,without,sin,sem,Patients without severe renal impairment were eligible.,Los pacientes sin insuficiencia renal grave fueron elegibles.,Pacientes sem insuficiência renal grave foram elegíveis.,Practice-style example,negative
card-4c62feef7d0f94ca,did not,no,não,Therapeutic-dose heparin did not improve outcomes in critically ill patients.,La heparina en dosis terapéutica no mejoró los desenlaces en pacientes críticamente enfermos.,A heparina em dose terapêutica não melhorou os desfechos em pacientes criticamente enfermos.,Adapted from practice text,negative
card-644dbfd4924e929c,fewer,menos,menos,The treatment group had fewer thrombotic events.,El grupo de tratamiento tuvo menos eventos trombóticos.,O grupo de tratamento teve menos eventos trombóticos.,Practice-style example,comparison
card-187897ce0afcf20b,more,más,mais,More evidence is needed before routine use is recommended.,Se necesita más evidencia antes de recomendar el uso rutinario.,São necessárias mais evidências antes de recomendar o uso rotineiro.,Practice-style example,comparison
card-c1deb3268b977bb9,overall,en general,no geral,"Overall, the intervention was effective and safe in selected patients.","En general, la intervención fue eficaz y segura en pacientes seleccionados.","No geral, a intervenção foi eficaz e segura em pacientes selecionados.",Practice-style example,summary
card-c59ddd3f7ba697a4,abstract,resumen,resumo,The authors described abstract in the methods and results sections.,Los autores describieron resumen en las secciones de métodos y resultados.,Os autores descreveram resumo nas seções de métodos e resultados.,Medical exam-style example,study
card-89b91df19d9d75d4,background,antecedentes,contexto / antecedentes,The authors described background in the methods and results sections.,Los autores describieron antecedentes en las secciones de métodos y resultados.,Os autores descreveram contexto / antecedentes nas seções de métodos e resultados.,Medical exam-style example,study
card-d454bec656d32723,objective,objetivo,objetivo,The authors described objective in the methods and results sections.,Los autores describieron objetivo en las secciones de métodos y resultados.,Os autores descreveram objetivo nas seções de métodos e resultados.,Medical exam-style example,study
card-a27f98238d2c1c02,aim,objetivo / propósito,objetivo / finalidade,The authors described aim in the methods and results sections.,Los autores describieron objetivo / propósito en las secciones de métodos y resultados.,Os autores descreveram objetivo / finalidade nas seções de métodos e resultados.,Medical exam-style example,study
card-81b06df4303e6581,purpose,propósito,propósito,The authors described purpose in the methods and results sections.,Los autores describieron propósito en las secciones de métodos y resultados.,Os autores descreveram propósito nas seções de métodos e resultados.,Medical exam-style example,study
card-3f3867313a9dbfd5,methods,métodos,métodos,The authors described methods in the methods and results sections.,Los autores describieron métodos en las secciones de métodos y resultados.,Os autores descreveram métodos nas seções de métodos e resultados.,Medical exam-style example,study
card-afba1a0ce1c8af74,materials,materiales,materiais,The authors described materials in the methods and results sections.,Los autores describieron materiales en las secciones de métodos y resultados.,Os autores descreveram materiais nas seções de métodos e resultados.,Medical exam-style example,study
card-c099142bc3186ded,results,resultados,resultados,The authors described results in the methods and results sections.,Los autores describieron resultados en las secciones de métodos y resultados.,Os autores descreveram resultados nas seções de métodos e resultados.,Medical exam-style example,study
card-852408bfbc833351,conclusion,conclusión,conclusão,The authors described conclusion in the methods and results sections.,Los autores describieron conclusión en las secciones de métodos y resultados.,Os autores descreveram conclusão nas seções de métodos e resultados.,Medical exam-style example,study
card-3cc610240ec72ccf,discussion,discusión,discussão,The authors described discussion in the methods and results sections.,Los autores describieron discusión en las secciones de métodos y resultados.,Os autores descreveram discussão nas seções de métodos e resultados.,Medical exam-style example,study
card-d3db5338aae140c5,introduction,introducción,introdução,The authors described introduction in the methods and results sections.,Los autores describieron introducción en las secciones de métodos y resultados.,Os autores descreveram introdução nas seções de métodos e resultados.,Medical exam-style example,study
card-af2bdbe1aa9b6ec1,sample,muestra,amostra,The authors described sample in the methods and results sections.,Los autores describieron muestra en las secciones de métodos y resultados.,Os autores descreveram amostra nas seções de métodos e resultados.,Medical exam-style example,study
card-c3fa44a62fc27e93,sample size,tamaño de la muestra,tamanho da amostra,The authors described sample size in the methods and results sections.,Los autores describieron tamaño de la muestra en las secciones de métodos y resultados.,Os autores descreveram tamanho da amostra nas seções de métodos e resultados.,Medical exam-style example,study
card-4f9edc4d3ed0a0e5,population,población,população,The authors described population in the methods and results sections.,Los autores describieron población en las secciones de métodos y resultados.,Os autores descreveram população nas seções de métodos e resultados.,Medical exam-style example,study
card-16accdf4ccc09faa,cohort,cohorte,coorte,The authors described cohort in the methods and results sections.,Los autores describieron cohorte en las secciones de métodos y resultados.,Os autores descreveram coorte nas seções de métodos e resultados.,Medical exam-style example,study
card-8d839fb07b435279,case-control study,estudio de casos y controles,estudo de caso-controle,The authors described case-control study in the methods and results sections.,Los autores describieron estudio de casos y controles en las secciones de métodos y resultados.,Os autores descreveram estudo de caso-controle nas seções de métodos e resultados.,Medical exam-style example,study
card-a62b3adf3784e26c,cross-sectional study,estudio transversal,estudo transversal,The authors described cross-sectional study in the methods and results sections.,Los autores describieron estudio transversal en las secciones de métodos y resultados.,Os autores descreveram estudo transversal nas seções de métodos e resultados.,Medical exam-style example,study
card-a9bbc8d656b20f72,prospective study,estudio prospectivo,estudo prospectivo,The authors described prospective study in the methods and results sections.,Los autores describieron estudio prospectivo en las secciones de métodos y resultados.,Os autores descreveram estudo prospectivo nas seções de métodos e resultados.,Medical exam-style example,study
card-106ac781df59d32e,retrospective study,estudio retrospectivo,estudo retrospectivo,The authors described retrospective study in the methods and results sections.,Los autores describieron estudio retrospectivo en las secciones de métodos y resultados.,Os autores descreveram estudo retrospectivo nas seções de métodos e resultados.,Medical exam-style example,study
card-355f8f6c4669b264,observational study,estudio observacional,estudo observacional,The authors described observational study in the methods and results sections.,Los autores describieron estudio observacional en las secciones de métodos y resultados.,Os autores descreveram estudo observacional nas seções de métodos e resultados.,Medical exam-style example,study
card-b67a2f27060248d3,systematic review,revisión sistemática,revisão sistemática,The authors described systematic review in the methods and results sections.,Los autores describieron revisión sistemática en las secciones de métodos y resultados.,Os autores descreveram revisão sistemática nas seções de métodos e resultados.,Medical exam-style example,study
card-08be48d0e6db3581,meta-analysis,metaanálisis,metanálise,The authors described meta-analysis in the methods and results sections.,Los autores describieron metaanálisis en las secciones de métodos y resultados.,Os autores descreveram metanálise nas seções de métodos e resultados.,Medical exam-style example,study
card-0785da2aea3eb945,case report,reporte de caso,relato de caso,The authors described case report in the methods and results sections.,Los autores describieron reporte de caso en las secciones de métodos y resultados.,Os autores descreveram relato de caso nas seções de métodos e resultados.,Medical exam-style example,study
card-0da2038564a595be,case series,serie de casos,série de casos,The authors described case series in the methods and results sections.,Los autores describieron serie de casos en las secciones de métodos y resultados.,Os autores descreveram série de casos nas seções de métodos e resultados.,Medical exam-style example,study
card-77f4c0b60ee93a5c,intervention,intervención,intervenção,The authors described intervention in the methods and results sections.,Los autores describieron intervención en las secciones de métodos y resultados.,Os autores descreveram intervenção nas seções de métodos e resultados.,Medical exam-style example,study
card-56d7a2eab911c932,intervention group,grupo de intervención,grupo de intervenção,The authors described intervention group in the methods and results sections.,Los autores describieron grupo de intervención en las secciones de métodos y resultados.,Os autores descreveram grupo de intervenção nas seções de métodos e resultados.,Medical exam-style example,study
card-bfb83ec17bb2ffdf,control group,grupo control,grupo controle,The authors described control group in the methods and results sections.,Los autores describieron grupo control en las secciones de métodos y resultados.,Os autores descreveram grupo controle nas seções de métodos e resultados.,Medical exam-style example,study
card-9c3b89ebaf0017df,placebo,placebo,placebo,The authors described placebo in the methods and results sections.,Los autores describieron placebo en las secciones de métodos y resultados.,Os autores descreveram placebo nas seções de métodos e resultados.,Medical exam-style example,study
card-3d4bf4b6882f4be6,blinded,enmascarado / cegado,cego / mascarado,The condition was described as blinded in the final report.,La condición fue descrita como enmascarado / cegado en el informe final.,A condição foi descrita como cego / mascarado no relatório final.,Medical exam-style example,adjective
card-f8f3c4a3b3e9941a,double-blind,doble ciego,duplo-cego,The condition was described as double-blind in the final report.,La condición fue descrita como doble ciego en el informe final.,A condição foi descrita como duplo-cego no relatório final.,Medical exam-style example,adjective
card-e3558d434b4ce737,open-label,abierto / sin cegamiento,aberto / sem cegamento,The condition was described as open-label in the final report.,La condición fue descrita como abierto / sin cegamiento en el informe final.,A condição foi descrita como aberto / sem cegamento no relatório final.,Medical exam-style example,adjective
card-165f0f8e557c4309,allocation,asignación,alocação,The authors described allocation in the methods and results sections.,Los autores describieron asignación en las secciones de métodos y resultados.,Os autores descreveram alocação nas seções de métodos e resultados.,Medical exam-style example,study
card-fb686238517ddbd2,randomisation,aleatorización,randomização,The authors described randomisation in the methods and results sections.,Los autores describieron aleatorización en las secciones de métodos y resultados.,Os autores descreveram randomização nas seções de métodos e resultados.,Medical exam-style example,study
card-10b54f11faba1098,enrolment,reclutamiento / inclusión,recrutamento / inclusão,The authors described enrolment in the methods and results sections.,Los autores describieron reclutamiento / inclusión en las secciones de métodos y resultados.,Os autores descreveram recrutamento / inclusão nas seções de métodos e resultados.,Medical exam-style example,study
card-5215377cf1359506,screening,tamizaje / cribado,triagem / rastreamento,The authors described screening in the methods and results sections.,Los autores describieron tamizaje / cribado en las secciones de métodos y resultados.,Os autores descreveram triagem / rastreamento nas seções de métodos e resultados.,Medical exam-style example,study
card-45d6d7781c4bd5a9,inclusion criteria,criterios de inclusión,critérios de inclusão,The authors described inclusion criteria in the methods and results sections.,Los autores describieron criterios de inclusión en las secciones de métodos y resultados.,Os autores descreveram critérios de inclusão nas seções de métodos e resultados.,Medical exam-style example,study
card-a66171a137fe4ffc,exclusion criteria,criterios de exclusión,critérios de exclusão,The authors described exclusion criteria in the methods and results sections.,Los autores describieron criterios de exclusión en las secciones de métodos y resultados.,Os autores descreveram critérios de exclusão nas seções de métodos e resultados.,Medical exam-style example,study
card-8ba8496a2525ae17,baseline,valor basal / inicial,valor basal / inicial,The authors described baseline in the methods and results sections.,Los autores describieron valor basal / inicial en las secciones de métodos y resultados.,Os autores descreveram valor basal / inicial nas seções de métodos e resultados.,Medical exam-style example,study
card-b6bf7bc8d96f3ea9,endpoint,criterio de valoración / desenlace,desfecho / endpoint,The authors described endpoint in the methods and results sections.,Los autores describieron criterio de valoración / desenlace en las secciones de métodos y resultados.,Os autores descreveram desfecho / endpoint nas seções de métodos e resultados.,Medical exam-style example,study
card-c388f6d1fed20753,primary endpoint,desenlace primario,desfecho primário,The authors described primary endpoint in the methods and results sections.,Los autores describieron desenlace primario en las secciones de métodos y resultados.,Os autores descreveram desfecho primário nas seções de métodos e resultados.,Medical exam-style example,study
card-fa77f89ebc30d9a0,secondary endpoint,desenlace secundario,desfecho secundário,The authors described secondary endpoint in the methods and results sections.,Los autores describieron desenlace secundario en las secciones de métodos y resultados.,Os autores descreveram desfecho secundário nas seções de métodos e resultados.,Medical exam-style example,study
card-95e236e2eed22574,composite endpoint,desenlace compuesto,desfecho composto,The authors described composite endpoint in the methods and results sections.,Los autores describieron desenlace compuesto en las secciones de métodos y resultados.,Os autores descreveram desfecho composto nas seções de métodos e resultados.,Medical exam-style example,study
card-0176fffe25e1f546,adverse event,evento adverso,evento adverso,The report discusses adverse event in hospitalised patients.,El informe analiza evento adverso en pacientes hospitalizados.,O relatório analisa evento adverso em pacientes hospitalizados.,Medical exam-style example,clinical
card-58ed7d2eeb779c74,serious adverse event,evento adverso grave,evento adverso grave,The report discusses serious adverse event in hospitalised patients.,El informe analiza evento adverso grave en pacientes hospitalizados.,O relatório analisa evento adverso grave em pacientes hospitalizados.,Medical exam-style example,clinical
card-7106fc2760fbbc51,side effect,efecto secundario,efeito colateral,The report discusses side effect in hospitalised patients.,El informe analiza efecto secundario en pacientes hospitalizados.,O relatório analisa efeito colateral em pacientes hospitalizados.,Medical exam-style example,clinical
card-f0a6c256946a62c2,tolerability,tolerabilidad,tolerabilidade,The authors described tolerability in the methods and results sections.,Los autores describieron tolerabilidad en las secciones de métodos y resultados.,Os autores descreveram tolerabilidade nas seções de métodos e resultados.,Medical exam-style example,study
