english,spanish,portuguese,example_en,example_es,example_pt,source,tags
prespecified outcome,desenlace preespecificado,desfecho pré-especificado,The GRADE analysis examined prespecified outcome across the treatment groups.,El análisis GRADE examinó desenlace preespecificado entre los grupos de tratamiento.,A análise GRADE examinou desfecho pré-especificado entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
time-to-first event,tiempo hasta el primer evento,tempo até o primeiro evento,The GRADE analysis examined time-to-first event across the treatment groups.,El análisis GRADE examinó tiempo hasta el primer evento entre los grupos de tratamiento.,A análise GRADE examinou tempo até o primeiro evento entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
major adverse cardiovascular event,evento cardiovascular adverso mayor,evento cardiovascular adverso maior,The GRADE analysis examined major adverse cardiovascular event across the treatment groups.,El análisis GRADE examinó evento cardiovascular adverso mayor entre los grupos de tratamiento.,A análise GRADE examinou evento cardiovascular adverso maior entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular death,muerte cardiovascular,morte cardiovascular,The GRADE analysis examined cardiovascular death across the treatment groups.,El análisis GRADE examinó muerte cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou morte cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
ischemic stroke,accidente cerebrovascular isquémico,acidente vascular cerebral isquêmico,The GRADE analysis examined ischemic stroke across the treatment groups.,El análisis GRADE examinó accidente cerebrovascular isquémico entre los grupos de tratamiento.,A análise GRADE examinou acidente vascular cerebral isquêmico entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
unstable angina,angina inestable,angina instável,The GRADE analysis examined unstable angina across the treatment groups.,El análisis GRADE examinó angina inestable entre los grupos de tratamiento.,A análise GRADE examinou angina instável entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
requiring hospitalization,que requiere hospitalización,que requer hospitalização,The GRADE analysis examined requiring hospitalization across the treatment groups.,El análisis GRADE examinó que requiere hospitalización entre los grupos de tratamiento.,A análise GRADE examinou que requer hospitalização entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
revascularization,revascularización,revascularização,The GRADE analysis examined revascularization across the treatment groups.,El análisis GRADE examinó revascularización entre los grupos de tratamiento.,A análise GRADE examinou revascularização entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
coronary revascularization,revascularización coronaria,revascularização coronariana,The GRADE analysis examined coronary revascularization across the treatment groups.,El análisis GRADE examinó revascularización coronaria entre los grupos de tratamiento.,A análise GRADE examinou revascularização coronariana entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
individual component,componente individual,componente individual,The GRADE analysis examined individual component across the treatment groups.,El análisis GRADE examinó componente individual entre los grupos de tratamiento.,A análise GRADE examinou componente individual entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
event analysis,análisis de eventos,análise de eventos,The GRADE analysis examined event analysis across the treatment groups.,El análisis GRADE examinó análisis de eventos entre los grupos de tratamiento.,A análise GRADE examinou análise de eventos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
mean age,edad media,idade média,The GRADE analysis examined mean age across the treatment groups.,El análisis GRADE examinó edad media entre los grupos de tratamiento.,A análise GRADE examinou idade média entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
median follow-up,seguimiento mediano,acompanhamento mediano,The GRADE analysis examined median follow-up across the treatment groups.,El análisis GRADE examinó seguimiento mediano entre los grupos de tratamiento.,A análise GRADE examinou acompanhamento mediano entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
comparative effectiveness,efectividad comparativa,efetividade comparativa,The GRADE analysis examined comparative effectiveness across the treatment groups.,El análisis GRADE examinó efectividad comparativa entre los grupos de tratamiento.,A análise GRADE examinou efetividade comparativa entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glycemia reduction,reducción de la glucemia,redução da glicemia,The GRADE analysis examined glycemia reduction across the treatment groups.,El análisis GRADE examinó reducción de la glucemia entre los grupos de tratamiento.,A análise GRADE examinou redução da glicemia entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
low baseline prevalence,baja prevalencia basal,baixa prevalência basal,The GRADE analysis examined low baseline prevalence across the treatment groups.,El análisis GRADE examinó baja prevalencia basal entre los grupos de tratamiento.,A análise GRADE examinou baixa prevalência basal entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
treatment comparison,comparación de tratamientos,comparação de tratamentos,The GRADE analysis examined treatment comparison across the treatment groups.,El análisis GRADE examinó comparación de tratamientos entre los grupos de tratamiento.,A análise GRADE examinou comparação de tratamentos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular outcome,desenlace cardiovascular,desfecho cardiovascular,The GRADE analysis examined cardiovascular outcome across the treatment groups.,El análisis GRADE examinó desenlace cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou desfecho cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
event rate,tasa de eventos,taxa de eventos,The GRADE analysis examined event rate across the treatment groups.,El análisis GRADE examinó tasa de eventos entre los grupos de tratamiento.,A análise GRADE examinou taxa de eventos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
first event,primer evento,primeiro evento,The GRADE analysis examined first event across the treatment groups.,El análisis GRADE examinó primer evento entre los grupos de tratamiento.,A análise GRADE examinou primeiro evento entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
added to metformin,añadido a metformina,adicionado à metformina,The GRADE analysis examined added to metformin across the treatment groups.,El análisis GRADE examinó añadido a metformina entre los grupos de tratamiento.,A análise GRADE examinou adicionado à metformina entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
between-group analysis,análisis entre grupos,análise entre grupos,The GRADE analysis examined between-group analysis across the treatment groups.,El análisis GRADE examinó análisis entre grupos entre los grupos de tratamiento.,A análise GRADE examinou análise entre grupos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
composite cardiovascular outcome,desenlace cardiovascular compuesto,desfecho cardiovascular composto,The GRADE analysis examined composite cardiovascular outcome across the treatment groups.,El análisis GRADE examinó desenlace cardiovascular compuesto entre los grupos de tratamiento.,A análise GRADE examinou desfecho cardiovascular composto entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular risk profile,perfil de riesgo cardiovascular,perfil de risco cardiovascular,The GRADE analysis examined cardiovascular risk profile across the treatment groups.,El análisis GRADE examinó perfil de riesgo cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou perfil de risco cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glycemic control,control glucémico,controle glicêmico,The GRADE analysis examined glycemic control across the treatment groups.,El análisis GRADE examinó control glucémico entre los grupos de tratamiento.,A análise GRADE examinou controle glicêmico entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
treatment arm,brazo de tratamiento,braço de tratamento,The GRADE analysis examined treatment arm across the treatment groups.,El análisis GRADE examinó brazo de tratamiento entre los grupos de tratamiento.,A análise GRADE examinou braço de tratamento entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
comparative study,estudio comparativo,estudo comparativo,The GRADE analysis examined comparative study across the treatment groups.,El análisis GRADE examinó estudio comparativo entre los grupos de tratamiento.,A análise GRADE examinou estudo comparativo entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
event-free survival,supervivencia libre de eventos,sobrevida livre de eventos,The GRADE analysis examined event-free survival across the treatment groups.,El análisis GRADE examinó supervivencia libre de eventos entre los grupos de tratamiento.,A análise GRADE examinou sobrevida livre de eventos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
clinical endpoint,criterio de valoración clínico,desfecho clínico,The GRADE analysis examined clinical endpoint across the treatment groups.,El análisis GRADE examinó criterio de valoración clínico entre los grupos de tratamiento.,A análise GRADE examinou desfecho clínico entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
followed for five years,seguido durante cinco años,acompanhado por cinco anos,The GRADE analysis examined followed for five years across the treatment groups.,El análisis GRADE examinó seguido durante cinco años entre los grupos de tratamiento.,A análise GRADE examinou acompanhado por cinco anos entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
low-risk population,población de bajo riesgo,população de baixo risco,The GRADE analysis examined low-risk population across the treatment groups.,El análisis GRADE examinó población de bajo riesgo entre los grupos de tratamiento.,A análise GRADE examinou população de baixo risco entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular event,evento cardiovascular,evento cardiovascular,The GRADE analysis examined cardiovascular event across the treatment groups.,El análisis GRADE examinó evento cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou evento cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cerebrovascular event,evento cerebrovascular,evento cerebrovascular,The GRADE analysis examined cerebrovascular event across the treatment groups.,El análisis GRADE examinó evento cerebrovascular entre los grupos de tratamiento.,A análise GRADE examinou evento cerebrovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glycemic therapy,terapia glucémica,terapia glicêmica,The GRADE analysis examined glycemic therapy across the treatment groups.,El análisis GRADE examinó terapia glucémica entre los grupos de tratamiento.,A análise GRADE examinou terapia glicêmica entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
comparative outcome,desenlace comparativo,desfecho comparativo,The GRADE analysis examined comparative outcome across the treatment groups.,El análisis GRADE examinó desenlace comparativo entre los grupos de tratamiento.,A análise GRADE examinou desfecho comparativo entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
baseline treatment,tratamiento basal,tratamento de base,The GRADE analysis examined baseline treatment across the treatment groups.,El análisis GRADE examinó tratamiento basal entre los grupos de tratamiento.,A análise GRADE examinou tratamento de base entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
study participant,participante del estudio,participante do estudo,The GRADE analysis examined study participant across the treatment groups.,El análisis GRADE examinó participante del estudio entre los grupos de tratamiento.,A análise GRADE examinou participante do estudo entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
treatment allocation,asignación del tratamiento,alocação do tratamento,The GRADE analysis examined treatment allocation across the treatment groups.,El análisis GRADE examinó asignación del tratamiento entre los grupos de tratamiento.,A análise GRADE examinou alocação do tratamento entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
prevalent disease,enfermedad prevalente,doença prevalente,The GRADE analysis examined prevalent disease across the treatment groups.,El análisis GRADE examinó enfermedad prevalente entre los grupos de tratamiento.,A análise GRADE examinou doença prevalente entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular morbidity,morbilidad cardiovascular,morbidade cardiovascular,The GRADE analysis examined cardiovascular morbidity across the treatment groups.,El análisis GRADE examinó morbilidad cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou morbidade cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
cardiovascular mortality,mortalidad cardiovascular,mortalidade cardiovascular,The GRADE analysis examined cardiovascular mortality across the treatment groups.,El análisis GRADE examinó mortalidad cardiovascular entre los grupos de tratamiento.,A análise GRADE examinou mortalidade cardiovascular entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
glucose-lowering therapy,terapia hipoglucemiante,terapia redutora de glicose,The GRADE analysis examined glucose-lowering therapy across the treatment groups.,El análisis GRADE examinó terapia hipoglucemiante entre los grupos de tratamiento.,A análise GRADE examinou terapia redutora de glicose entre os grupos de tratamento.,Adapted from GRADE PubMed abstract,grade
adjunctive therapy,terapia complementaria,terapia adjuvante,The HYPRESS trial evaluated adjunctive therapy in adults with severe sepsis.,El ensayo HYPRESS evaluó terapia complementaria en adultos con sepsis grave.,O estudo HYPRESS avaliou terapia adjuvante em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
hydrocortisone therapy,terapia con hidrocortisona,terapia com hidrocortisona,The HYPRESS trial evaluated hydrocortisone therapy in adults with severe sepsis.,El ensayo HYPRESS evaluó terapia con hidrocortisona en adultos con sepsis grave.,O estudo HYPRESS avaliou terapia com hidrocortisona em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
surviving sepsis campaign,Campaña Sobreviviendo a la Sepsis,Campanha Sobrevivendo à Sepse,The HYPRESS trial evaluated surviving sepsis campaign in adults with severe sepsis.,El ensayo HYPRESS evaluó Campaña Sobreviviendo a la Sepsis en adultos con sepsis grave.,O estudo HYPRESS avaliou Campanha Sobrevivendo à Sepse em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
refractory septic shock,shock séptico refractario,choque séptico refratário,The HYPRESS trial evaluated refractory septic shock in adults with severe sepsis.,El ensayo HYPRESS evaluó shock séptico refractario en adultos con sepsis grave.,O estudo HYPRESS avaliou choque séptico refratário em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
remains controversial,sigue siendo controvertido,permanece controverso,The HYPRESS trial evaluated remains controversial in adults with severe sepsis.,El ensayo HYPRESS evaluó sigue siendo controvertido en adultos con sepsis grave.,O estudo HYPRESS avaliou permanece controverso em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
prevent the development,prevenir el desarrollo,prevenir o desenvolvimento,The HYPRESS trial evaluated prevent the development in adults with severe sepsis.,El ensayo HYPRESS evaluó prevenir el desarrollo en adultos con sepsis grave.,O estudo HYPRESS avaliou prevenir o desenvolvimento em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
development of septic shock,desarrollo de shock séptico,desenvolvimento de choque séptico,The HYPRESS trial evaluated development of septic shock in adults with severe sepsis.,El ensayo HYPRESS evaluó desarrollo de shock séptico en adultos con sepsis grave.,O estudo HYPRESS avaliou desenvolvimento de choque séptico em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
study setting,ámbito del estudio,cenário do estudo,The HYPRESS trial evaluated study setting in adults with severe sepsis.,El ensayo HYPRESS evaluó ámbito del estudio en adultos con sepsis grave.,O estudo HYPRESS avaliou cenário do estudo em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
double-blind trial,ensayo doble ciego,ensaio duplo-cego,The HYPRESS trial evaluated double-blind trial in adults with severe sepsis.,El ensayo HYPRESS evaluó ensayo doble ciego en adultos con sepsis grave.,O estudo HYPRESS avaliou ensaio duplo-cego em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
intermediate care unit,unidad de cuidados intermedios,unidade de cuidados intermediários,The HYPRESS trial evaluated intermediate care unit in adults with severe sepsis.,El ensayo HYPRESS evaluó unidad de cuidados intermedios en adultos con sepsis grave.,O estudo HYPRESS avaliou unidade de cuidados intermediários em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
community hospital,hospital comunitario,hospital comunitário,The HYPRESS trial evaluated community hospital in adults with severe sepsis.,El ensayo HYPRESS evaluó hospital comunitario en adultos con sepsis grave.,O estudo HYPRESS avaliou hospital comunitário em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
adult patient,paciente adulto,paciente adulto,The HYPRESS trial evaluated adult patient in adults with severe sepsis.,El ensayo HYPRESS evaluó paciente adulto en adultos con sepsis grave.,O estudo HYPRESS avaliou paciente adulto em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
not in septic shock,sin shock séptico,sem choque séptico,The HYPRESS trial evaluated not in septic shock in adults with severe sepsis.,El ensayo HYPRESS evaluó sin shock séptico en adultos con sepsis grave.,O estudo HYPRESS avaliou sem choque séptico em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
randomly allocated,asignado aleatoriamente,alocado aleatoriamente,The HYPRESS trial evaluated randomly allocated in adults with severe sepsis.,El ensayo HYPRESS evaluó asignado aleatoriamente en adultos con sepsis grave.,O estudo HYPRESS avaliou alocado aleatoriamente em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
one-to-one ratio,proporción uno a uno,proporção um para um,The HYPRESS trial evaluated one-to-one ratio in adults with severe sepsis.,El ensayo HYPRESS evaluó proporción uno a uno en adultos con sepsis grave.,O estudo HYPRESS avaliou proporção um para um em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
continuous infusion,infusión continua,infusão contínua,The HYPRESS trial evaluated continuous infusion in adults with severe sepsis.,El ensayo HYPRESS evaluó infusión continua en adultos con sepsis grave.,O estudo HYPRESS avaliou infusão contínua em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
dose tapering,reducción gradual de la dosis,redução gradual da dose,The HYPRESS trial evaluated dose tapering in adults with severe sepsis.,El ensayo HYPRESS evaluó reducción gradual de la dosis en adultos con sepsis grave.,O estudo HYPRESS avaliou redução gradual da dose em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
main outcome,desenlace principal,desfecho principal,The HYPRESS trial evaluated main outcome in adults with severe sepsis.,El ensayo HYPRESS evaluó desenlace principal en adultos con sepsis grave.,O estudo HYPRESS avaliou desfecho principal em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
within fourteen days,dentro de catorce días,dentro de quatorze dias,The HYPRESS trial evaluated within fourteen days in adults with severe sepsis.,El ensayo HYPRESS evaluó dentro de catorce días en adultos con sepsis grave.,O estudo HYPRESS avaliou dentro de quatorze dias em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
time until septic shock,tiempo hasta el shock séptico,tempo até o choque séptico,The HYPRESS trial evaluated time until septic shock in adults with severe sepsis.,El ensayo HYPRESS evaluó tiempo hasta el shock séptico en adultos con sepsis grave.,O estudo HYPRESS avaliou tempo até o choque séptico em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
hospital mortality,mortalidad hospitalaria,mortalidade hospitalar,The HYPRESS trial evaluated hospital mortality in adults with severe sepsis.,El ensayo HYPRESS evaluó mortalidad hospitalaria en adultos con sepsis grave.,O estudo HYPRESS avaliou mortalidade hospitalar em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
survival up to 180 days,supervivencia hasta 180 días,sobrevida até 180 dias,The HYPRESS trial evaluated survival up to 180 days in adults with severe sepsis.,El ensayo HYPRESS evaluó supervivencia hasta 180 días en adultos con sepsis grave.,O estudo HYPRESS avaliou sobrevida até 180 dias em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
secondary infection,infección secundaria,infecção secundária,The HYPRESS trial evaluated secondary infection in adults with severe sepsis.,El ensayo HYPRESS evaluó infección secundaria en adultos con sepsis grave.,O estudo HYPRESS avaliou infecção secundária em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
weaning failure,fracaso del destete,falha no desmame,The HYPRESS trial evaluated weaning failure in adults with severe sepsis.,El ensayo HYPRESS evaluó fracaso del destete en adultos con sepsis grave.,O estudo HYPRESS avaliou falha no desmame em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
muscle weakness,debilidad muscular,fraqueza muscular,The HYPRESS trial evaluated muscle weakness in adults with severe sepsis.,El ensayo HYPRESS evaluó debilidad muscular en adultos con sepsis grave.,O estudo HYPRESS avaliou fraqueza muscular em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
hyperglycaemia,hiperglucemia,hiperglicemia,The HYPRESS trial evaluated hyperglycaemia in adults with severe sepsis.,El ensayo HYPRESS evaluó hiperglucemia en adultos con sepsis grave.,O estudo HYPRESS avaliou hiperglicemia em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
blood glucose level,nivel de glucosa en sangre,nível de glicose no sangue,The HYPRESS trial evaluated blood glucose level in adults with severe sepsis.,El ensayo HYPRESS evaluó nivel de glucosa en sangre en adultos con sepsis grave.,O estudo HYPRESS avaliou nível de glicose no sangue em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
intention-to-treat population,población por intención de tratar,população por intenção de tratar,The HYPRESS trial evaluated intention-to-treat population in adults with severe sepsis.,El ensayo HYPRESS evaluó población por intención de tratar en adultos con sepsis grave.,O estudo HYPRESS avaliou população por intenção de tratar em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
septic shock occurred,se produjo shock séptico,ocorreu choque séptico,The HYPRESS trial evaluated septic shock occurred in adults with severe sepsis.,El ensayo HYPRESS evaluó se produjo shock séptico en adultos con sepsis grave.,O estudo HYPRESS avaliou ocorreu choque séptico em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
no significant differences,sin diferencias significativas,sem diferenças significativas,The HYPRESS trial evaluated no significant differences in adults with severe sepsis.,El ensayo HYPRESS evaluó sin diferencias significativas en adultos con sepsis grave.,O estudo HYPRESS avaliou sem diferenças significativas em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
observed between groups,observado entre los grupos,observado entre os grupos,The HYPRESS trial evaluated observed between groups in adults with severe sepsis.,El ensayo HYPRESS evaluó observado entre los grupos en adultos con sepsis grave.,O estudo HYPRESS avaliou observado entre os grupos em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
twenty-eight-day mortality,mortalidad a 28 días,mortalidade em 28 dias,The HYPRESS trial evaluated twenty-eight-day mortality in adults with severe sepsis.,El ensayo HYPRESS evaluó mortalidad a 28 días en adultos con sepsis grave.,O estudo HYPRESS avaliou mortalidade em 28 dias em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
ninety-day mortality,mortalidad a 90 días,mortalidade em 90 dias,The HYPRESS trial evaluated ninety-day mortality in adults with severe sepsis.,El ensayo HYPRESS evaluó mortalidad a 90 días en adultos con sepsis grave.,O estudo HYPRESS avaliou mortalidade em 90 dias em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
one-hundred-eighty-day mortality,mortalidad a 180 días,mortalidade em 180 dias,The HYPRESS trial evaluated one-hundred-eighty-day mortality in adults with severe sepsis.,El ensayo HYPRESS evaluó mortalidad a 180 días en adultos con sepsis grave.,O estudo HYPRESS avaliou mortalidade em 180 dias em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
conclusions and relevance,conclusiones y relevancia,conclusões e relevância,The HYPRESS trial evaluated conclusions and relevance in adults with severe sepsis.,El ensayo HYPRESS evaluó conclusiones y relevancia en adultos con sepsis grave.,O estudo HYPRESS avaliou conclusões e relevância em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
findings do not support,los hallazgos no respaldan,os achados não apoiam,The HYPRESS trial evaluated findings do not support in adults with severe sepsis.,El ensayo HYPRESS evaluó los hallazgos no respaldan en adultos con sepsis grave.,O estudo HYPRESS avaliou os achados não apoiam em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
use of hydrocortisone,uso de hidrocortisona,uso de hidrocortisona,The HYPRESS trial evaluated use of hydrocortisone in adults with severe sepsis.,El ensayo HYPRESS evaluó uso de hidrocortisona en adultos con sepsis grave.,O estudo HYPRESS avaliou uso de hidrocortisona em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
placebo group,grupo placebo,grupo placebo,The HYPRESS trial evaluated placebo group in adults with severe sepsis.,El ensayo HYPRESS evaluó grupo placebo en adultos con sepsis grave.,O estudo HYPRESS avaliou grupo placebo em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
hydrocortisone group,grupo de hidrocortisona,grupo de hidrocortisona,The HYPRESS trial evaluated hydrocortisone group in adults with severe sepsis.,El ensayo HYPRESS evaluó grupo de hidrocortisona en adultos con sepsis grave.,O estudo HYPRESS avaliou grupo de hidrocortisona em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
severe sepsis without shock,sepsis grave sin shock,sepse grave sem choque,The HYPRESS trial evaluated severe sepsis without shock in adults with severe sepsis.,El ensayo HYPRESS evaluó sepsis grave sin shock en adultos con sepsis grave.,O estudo HYPRESS avaliou sepse grave sem choque em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
secondary outcome measure,medida de desenlace secundaria,medida de desfecho secundária,The HYPRESS trial evaluated secondary outcome measure in adults with severe sepsis.,El ensayo HYPRESS evaluó medida de desenlace secundaria en adultos con sepsis grave.,O estudo HYPRESS avaliou medida de desfecho secundária em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
