english,spanish,portuguese,tags
high VTE risk,alto riesgo de TEV,alto risco de TEV,thrombosis
paediatric growth charts,curvas de crecimiento pediátrico,curvas de crescimento pediátrico,growth
massive dataset,conjunto de datos masivo,conjunto de dados massivo,growth
primary care physicians,médicos de atención primaria,médicos da atenção primária,growth
macronutrients,macronutrientes,macronutrientes,growth
micronutrients,micronutrientes,micronutrientes,growth
body size,tamaño corporal,tamanho corporal,growth
anthropometry,antropometría,antropometria,growth
rate of growth,tasa de crecimiento,taxa de crescimento,growth
reference data,datos de referencia,dados de referência,growth
body-mass index,índice de masa corporal,índice de massa corporal,growth
descriptive references,referencias descriptivas,referências descritivas,growth
prescriptive standards,estándares prescriptivos,padrões prescritivos,growth
nutritional limitations,limitaciones nutricionales,limitações nutricionais,growth
growth reference study,estudio de referencia del crecimiento,estudo de referência de crescimento,growth
longitudinal assessment,evaluación longitudinal,avaliação longitudinal,growth
cross-sectional assessment,evaluación transversal,avaliação transversal,growth
infants,lactantes,lactentes,growth
breastfeeding,lactancia materna,amamentação,growth
complementary feeding,alimentación complementaria,alimentação complementar,growth
maternal smoking,tabaquismo materno,tabagismo materno,growth
fetal growth,crecimiento fetal,crescimento fetal,growth
preterm infants,lactantes prematuros,lactentes prematuros,growth
prospectively collected data,datos recopilados prospectivamente,dados coletados prospectivamente,growth
socioeconomic restrictions,restricciones socioeconómicas,restrições socioeconômicas,growth
intergenerational factors,factores intergeneracionales,fatores intergeracionais,growth
school-aged children,niños en edad escolar,crianças em idade escolar,growth
adolescents,adolescentes,adolescentes,growth
adult height,estatura adulta,altura adulta,growth
adult weight,peso adulto,peso adulto,growth
genetic variations,variaciones genéticas,variações genéticas,growth
growth standards,estándares de crecimiento,padrões de crescimento,growth
routine clinical practice,práctica clínica habitual,prática clínica rotineira,growth
descriptive studies,estudios descriptivos,estudos descritivos,growth
healthy individuals,individuos sanos,indivíduos saudáveis,growth
environmental factors,factores ambientales,fatores ambientais,growth
nutritional factors,factores nutricionales,fatores nutricionais,growth
ethnic groups,grupos étnicos,grupos étnicos,growth
affluent neighbourhoods,barrios de altos ingresos,bairros de alta renda,growth
inclusion criteria included,los criterios de inclusión comprendían,os critérios de inclusão incluíam,growth
screened participants,participantes evaluados,participantes triados,growth
human populations,poblaciones humanas,populações humanas,growth
target for attainment,objetivo de crecimiento,meta de crescimento,growth
worldwide,en todo el mundo,em todo o mundo,growth
uncertainty,incertidumbre,incerteza,growth
substantial differences,diferencias sustanciales,diferenças substanciais,growth
height and weight,estatura y peso,altura e peso,growth
chronic disease,enfermedad crónica,doença crônica,growth
growth charts,curvas de crecimiento,curvas de crescimento,growth
standardised longitudinal,evaluación longitudinal estandarizada,avaliação longitudinal padronizada,growth
descriptive or prescriptive,descriptivo o prescriptivo,descritivo ou prescritivo,growth
deep brain stimulation,estimulación cerebral profunda,estimulação cerebral profunda,neurology
movement disorders,trastornos del movimiento,transtornos do movimento,neurology
dystonia,distonía,distonia,neurology
epilepsy,epilepsia,epilepsia,neurology
essential tremor,temblor esencial,tremor essencial,neurology
Parkinson's disease,enfermedad de Parkinson,doença de Parkinson,neurology
surgical procedure,procedimiento quirúrgico,procedimento cirúrgico,neurology
neurological disorders,trastornos neurológicos,transtornos neurológicos,neurology
battery-operated medical device,dispositivo médico a batería,dispositivo médico movido a bateria,neurology
implantable pulse generator,generador de impulsos implantable,gerador de pulsos implantável,neurology
heart pacemaker,marcapasos cardíaco,marca-passo cardíaco,neurology
electrical stimulation,estimulación eléctrica,estimulação elétrica,neurology
abnormal nerve signals,señales nerviosas anormales,sinais nervosos anormais,neurology
electrode,electrodo,eletrodo,neurology
insulated wire,cable aislado,fio isolado,neurology
skull,cráneo,crânio,neurology
brain area,área cerebral,área cerebral,neurology
collarbone,clavícula,clavícula,neurology
abdomen,abdomen,abdômen,neurology
healing post-surgery,recuperación posquirúrgica,cicatrização pós-cirúrgica,neurology
neurologist,neurólogo,neurologista,neurology
electrical pulses,impulsos eléctricos,pulsos elétricos,neurology
electrical activity,actividad eléctrica,atividade elétrica,neurology
motor symptoms,síntomas motores,sintomas motores,neurology
neurosurgeon,neurocirujano,neurocirurgião,neurology
noninvasive diagnostic imaging,diagnóstico por imágenes no invasivo,diagnóstico por imagem não invasivo,neurology
magnetic resonance imaging,resonancia magnética,ressonância magnética,neurology
computed tomography,tomografía computarizada,tomografia computadorizada,neurology
microelectrode recording,registro con microelectrodos,registro com microeletrodos,neurology
nerve cells,células nerviosas,células nervosas,neurology
thalamus,tálamo,tálamo,neurology
sensory and motor information,información sensorial y motora,informação sensorial e motora,neurology
subthalamic nucleus,núcleo subtalámico,núcleo subtalâmico,neurology
movement preparation,preparación del movimiento,preparação do movimento,neurology
globus pallidus,globo pálido,globo pálido,neurology
voluntary movement,movimiento voluntario,movimento voluntário,neurology
unwanted side effects,efectos secundarios no deseados,efeitos colaterais indesejados,neurology
adjustable,ajustable,ajustável,neurology
minimally invasive,mínimamente invasivo,minimamente invasivo,neurology
stimulator,estimulador,estimulador,neurology
brain tissue,tejido cerebral,tecido cerebral,neurology
mechanical stress,estrés mecánico,estresse mecânico,neurology
reversible,reversible,reversível,neurology
numbness,entumecimiento,dormência,neurology
tingling sensations,sensaciones de hormigueo,sensações de formigamento,neurology
behavioral changes,cambios conductuales,mudanças comportamentais,neurology
speech problems,problemas del habla,problemas da fala,neurology
swelling of brain tissue,inflamación del tejido cerebral,inchaço do tecido cerebral,neurology
hardware,componentes físicos,componentes físicos,neurology
three-dose vaccination,vacunación con tres dosis,vacinação com três doses,vaccination
neutralising antibodies,anticuerpos neutralizantes,anticorpos neutralizantes,vaccination
variant of concern,variante de preocupación,variante de preocupação,vaccination
sub-lineage,sublinaje,sub-linhagem,vaccination
transmissibility,transmisibilidad,transmissibilidade,vaccination
infection-induced immunity,inmunidad inducida por la infección,imunidade induzida pela infecção,vaccination
vaccine-induced immunity,inmunidad inducida por la vacuna,imunidade induzida pela vacina,vaccination
primary two-dose course,esquema primario de dos dosis,esquema primário de duas doses,vaccination
third dose,tercera dosis,terceira dose,vaccination
booster campaign,campaña de refuerzo,campanha de reforço,vaccination
neutralisation assay,ensayo de neutralización,ensaio de neutralização,vaccination
antibody titres,títulos de anticuerpos,títulos de anticorpos,vaccination
serum samples,muestras de suero,amostras de soro,vaccination
inhibitory concentration,concentración inhibitoria,concentração inibitória,vaccination
quantifiable,cuantificable,quantificável,vaccination
detectable NAbTs,títulos de anticuerpos detectables,títulos de anticorpos detectáveis,vaccination
vaccine efficacy,eficacia de la vacuna,eficácia da vacina,vaccination
correlated with,correlacionado con,correlacionado com,vaccination
seven fold lower,siete veces menor,sete vezes menor,vaccination
second dose,segunda dosis,segunda dose,vaccination
health-care workers,trabajadores de la salud,profissionais de saúde,vaccination
clinically vulnerable people,personas clínicamente vulnerables,pessoas clinicamente vulneráveis,vaccination
post-vaccination,posterior a la vacunación,pós-vacinação,vaccination
neutralising response,respuesta neutralizante,resposta neutralizante,vaccination
population immunity,inmunidad poblacional,imunidade populacional,vaccination
new variants,nuevas variantes,novas variantes,vaccination
vaccine doses,dosis de vacuna,doses de vacina,vaccination
Pfizer–BioNTech,Pfizer–BioNTech,Pfizer–BioNTech,vaccination
Oxford–AstraZeneca,Oxford–AstraZeneca,Oxford–AstraZeneca,vaccination
Moderna vaccine,vacuna de Moderna,vacina da Moderna,vaccination
omicron,ómicron,ômicron,vaccination
alpha and delta,alfa y delta,alfa e delta,vaccination
high-throughput,de alto rendimiento,de alto rendimento,vaccination
live SARS-CoV-2,SARS-CoV-2 vivo,SARS-CoV-2 vivo,vaccination
neutralising antibody titre,título de anticuerpos neutralizantes,título de anticorpos neutralizantes,vaccination
median inhibitory concentration,concentración inhibitoria mediana,concentração inibitória mediana,vaccination
quantifiable NAbT,título neutralizante cuantificable,título neutralizante quantificável,vaccination
detectable,detectable,detectável,vaccination
targeted third-dose,campaña dirigida de tercera dosis,campanha direcionada de terceira dose,vaccination
third-dose booster,refuerzo con tercera dosis,reforço com terceira dose,vaccination
vulnerable people,personas vulnerables,pessoas vulneráveis,vaccination
three doses,tres dosis,três doses,vaccination
strong NAb response,respuesta neutralizante intensa,resposta neutralizante forte,vaccination
broad neutralising response,respuesta neutralizante amplia,resposta neutralizante ampla,vaccination
urgent global action,acción mundial urgente,ação global urgente,vaccination
emergence of new variants,aparición de nuevas variantes,surgimento de novas variantes,vaccination
vaccine-induced antibodies,anticuerpos inducidos por la vacuna,anticorpos induzidos pela vacina,vaccination
two-dose vaccination,vacunación con dos dosis,vacinação com duas doses,vaccination
primary course,esquema primario,esquema primário,vaccination
serum,suero,soro,vaccination
neutralise,neutralizar,neutralizar,vaccination
neutralisation,neutralización,neutralização,vaccination
cigarette use,consumo de cigarrillos,uso de cigarros,mental-health
major depression,depresión mayor,depressão maior,mental-health
substance use disorder,trastorno por consumo de sustancias,transtorno por uso de substâncias,mental-health
nationally representative survey,encuesta representativa nacional,pesquisa nacionalmente representativa,mental-health
tobacco use prevention,prevención del consumo de tabaco,prevenção do uso de tabaco,mental-health
smoking cessation,abandono del tabaquismo,cessação do tabagismo,mental-health
psychiatric disorders,trastornos psiquiátricos,transtornos psiquiátricos,mental-health
population-level,a nivel poblacional,em nível populacional,mental-health
psychiatric conditions,afecciones psiquiátricas,condições psiquiátricas,mental-health
long-term success,éxito a largo plazo,sucesso em longo prazo,mental-health
concurrent treatments,tratamientos concomitantes,tratamentos concomitantes,mental-health
mental health symptoms,síntomas de salud mental,sintomas de saúde mental,mental-health
overall mood,estado de ánimo general,humor geral,mental-health
quality of life,calidad de vida,qualidade de vida,mental-health
preventable cause,causa prevenible,causa evitável,mental-health
disability,discapacidad,incapacidade,mental-health
insurance coverage,cobertura de seguro,cobertura de seguro,mental-health
smoke-free policies,políticas de espacios sin humo,políticas de ambientes sem fumaça,mental-health
tobacco-free policies,políticas libres de tabaco,políticas livres de tabaco,mental-health
mass media,medios de comunicación masiva,mídia de massa,mental-health
educational campaigns,campañas educativas,campanhas educativas,mental-health
evidence-based strategies,estrategias basadas en evidencia,estratégias baseadas em evidências,mental-health
quit using cigarettes,dejar de fumar cigarrillos,parar de fumar cigarros,mental-health
major depressive episode,episodio depresivo mayor,episódio depressivo maior,mental-health
drug use disorders,trastornos por consumo de drogas,transtornos por uso de drogas,mental-health
civilian population,población civil,população civil,mental-health
non-institutionalized adult population,población adulta no institucionalizada,população adulta não institucionalizada,mental-health
behavioral health treatments,tratamientos de salud conductual,tratamentos de saúde comportamental,mental-health
racial and ethnic subgroup,subgrupo racial y étnico,subgrupo racial e étnico,mental-health
quitting rates,tasas de abandono,taxas de cessação,mental-health
American Indian,indígena estadounidense,indígena norte-americano,mental-health
Alaska Native,nativo de Alaska,nativo do Alasca,mental-health
healthcare providers,profesionales sanitarios,profissionais de saúde,mental-health
integrated into existing treatments,integrado en tratamientos existentes,integrado aos tratamentos existentes,mental-health
national trends,tendencias nacionales,tendências nacionais,mental-health
nicotine vaping,vapeo de nicotina,uso de nicotina por vape,mental-health
psychiatric symptoms,síntomas psiquiátricos,sintomas psiquiátricos,mental-health
tobacco use,consumo de tabaco,uso de tabaco,mental-health
cigarette smoking,tabaquismo,tabagismo,mental-health
tobacco-free,libre de tabaco,livre de tabaco,mental-health
smoke-free,libre de humo,livre de fumaça,mental-health
smoking rates,tasas de tabaquismo,taxas de tabagismo,mental-health
declining,disminuyendo,diminuindo,mental-health
cessation efforts,esfuerzos para dejar de fumar,esforços de cessação,mental-health
mental health disorders,trastornos de salud mental,transtornos de saúde mental,mental-health
substance abuse,abuso de sustancias,abuso de substâncias,mental-health
lowering stress,reducción del estrés,redução do estresse,mental-health
improving overall mood,mejora del estado de ánimo general,melhora do humor geral,mental-health
institutionalized individuals,personas institucionalizadas,pessoas institucionalizadas,mental-health
experiencing homelessness,personas sin hogar,pessoas em situação de rua,mental-health
obstructive sleep apnea,apnea obstructiva del sueño,apneia obstrutiva do sono,sleep-medicine
upper airway,vía aérea superior,via aérea superior,sleep-medicine
reduce airflow,reducir el flujo de aire,reduzir o fluxo de ar,sleep-medicine
brief awakenings,despertares breves,despertares breves,sleep-medicine
blood oxygen,oxígeno en sangre,oxigênio no sangue,sleep-medicine
physiological stress,estrés fisiológico,estresse fisiológico,sleep-medicine
blood vessels,vasos sanguíneos,vasos sanguíneos,sleep-medicine
apnea–hypopnea index,índice de apnea-hipopnea,índice de apneia-hipopneia,sleep-medicine
breathing interruptions,interrupciones respiratorias,interrupções respiratórias,sleep-medicine
reduction in airflow,reducción del flujo de aire,redução do fluxo de ar,sleep-medicine
oxygen deprivation,privación de oxígeno,privação de oxigênio,sleep-medicine
ventilatory impairment,deterioro ventilatorio,comprometimento ventilatório,sleep-medicine
prospective population studies,estudios poblacionales prospectivos,estudos populacionais prospectivos,sleep-medicine
atherosclerosis,aterosclerosis,aterosclerose,sleep-medicine
overnight sleep studies,estudios nocturnos del sueño,estudos noturnos do sono,sleep-medicine
hypoxic burden,carga hipóxica,carga hipóxica,sleep-medicine
oxygen desaturation,desaturación de oxígeno,dessaturação de oxigênio,sleep-medicine
ventilatory burden,carga ventilatoria,carga ventilatória,sleep-medicine
arousal burden,carga de despertares,carga de despertares,sleep-medicine
accumulated time,tiempo acumulado,tempo acumulado,sleep-medicine
statistical models,modelos estadísticos,modelos estatísticos,sleep-medicine
baseline oxygen saturation,saturación basal de oxígeno,saturação basal de oxigênio,sleep-medicine
lung function,función pulmonar,função pulmonar,sleep-medicine
mortality outcomes,resultados de mortalidad,desfechos de mortalidade,sleep-medicine
consistent predictor,predictor consistente,preditor consistente,sleep-medicine
obstructed breathing,respiración obstruida,respiração obstruída,sleep-medicine
loss of ventilation,pérdida de ventilación,perda de ventilação,sleep-medicine
respiratory events,eventos respiratorios,eventos respiratórios,sleep-medicine
cardiovascular risk prediction,predicción del riesgo cardiovascular,predição do risco cardiovascular,sleep-medicine
higher-risk patients,pacientes de mayor riesgo,pacientes de maior risco,sleep-medicine
oxygen levels,niveles de oxígeno,níveis de oxigênio,sleep-medicine
sleep apnea,apnea del sueño,apneia do sono,sleep-medicine
airflow,flujo de aire,fluxo de ar,sleep-medicine
aroused,en estado de alerta,desperto,sleep-medicine
middle-aged adults,adultos de mediana edad,adultos de meia-idade,sleep-medicine
older adults,adultos mayores,idosos,sleep-medicine
oxygen saturation,saturación de oxígeno,saturação de oxigênio,sleep-medicine
obstructed breathing,respiración obstruida,respiração obstruída,sleep-medicine
ventilation and oxygen,ventilación y oxígeno,ventilação e oxigênio,sleep-medicine
cardiovascular consequences,consecuencias cardiovasculares,consequências cardiovasculares,sleep-medicine
sleep apnea measurements,mediciones de la apnea del sueño,medições da apneia do sono,sleep-medicine
grading sleep apnea,clasificación de la apnea del sueño,classificação da apneia do sono,sleep-medicine
oxygen is lost,se pierde oxígeno,há perda de oxigênio,sleep-medicine
degrees of oxygen deprivation,grados de privación de oxígeno,graus de privação de oxigênio,sleep-medicine
depth and duration,profundidad y duración,profundidade e duração,sleep-medicine
total reduction in airflow,reducción total del flujo de aire,redução total do fluxo de ar,sleep-medicine
variation in hypoxic burden,variación de la carga hipóxica,variação da carga hipóxica,sleep-medicine
risk prediction,predicción del riesgo,predição de risco,sleep-medicine
observational,observacional,observacional,sleep-medicine
risk of cardiovascular disease,riesgo de enfermedad cardiovascular,risco de doença cardiovascular,sleep-medicine
antiretroviral therapy,tratamiento antirretroviral,tratamento antirretroviral,hiv
life expectancy,esperanza de vida,expectativa de vida,hiv
people living with HIV,personas que viven con VIH,pessoas vivendo com HIV,hiv
chronic inflammation,inflamación crónica,inflamação crônica,hiv
immune activation,activación inmunitaria,ativação imune,hiv
accelerate atherosclerosis,acelerar la aterosclerosis,acelerar a aterosclerose,hiv
statins,estatinas,estatinas,hiv
cholesterol,colesterol,colesterol,hiv
predicted cardiovascular risk,riesgo cardiovascular previsto,risco cardiovascular previsto,hiv
primary prevention,prevención primaria,prevenção primária,hiv
pitavastatin,pitavastatina,pitavastatina,hiv
LDL cholesterol,colesterol LDL,colesterol LDL,hiv
clinically important interactions,interacciones clínicamente importantes,interações clinicamente importantes,hiv
antiretroviral medicines,medicamentos antirretrovirales,medicamentos antirretrovirais,hiv
phase 3, fase 3,fase 3,hiv
placebo-controlled trial,ensayo controlado con placebo,ensaio controlado por placebo,hiv
low-to-moderate predicted risk,riesgo previsto bajo a moderado,risco previsto baixo a moderado,hiv
pitavastatin calcium,pitavastatina cálcica,pitavastatina cálcica,hiv
peripheral arterial ischemia,isquemia arterial periférica,isquemia arterial periférica,hiv
restore blood flow,restablecer el flujo sanguíneo,restaurar o fluxo sanguíneo,hiv
monitoring board,comité de monitoreo,comitê de monitoramento,hiv
blinded phase,fase ciega,fase cega,hiv
muscle-related symptoms,síntomas musculares,sintomas musculares,hiv
standard criteria,criterios estándar,critérios padrão,hiv
individual assessment,evaluación individual,avaliação individual,hiv
adverse effects,efectos adversos,efeitos adversos,hiv
health systems,sistemas de salud,sistemas de saúde,hiv
patient preferences,preferencias del paciente,preferências do paciente,hiv
daily statin,estatina diaria,estatina diária,hiv
traditional risk scores,puntuaciones de riesgo tradicionales,escores de risco tradicionais,hiv
low or moderate,bajo o moderado,baixo ou moderado,hiv
drug interactions,interacciones medicamentosas,interações medicamentosas,hiv
randomized double-blind,aleatorizado y doble ciego,randomizado e duplo-cego,hiv
identical placebo,placebo idéntico,placebo idêntico,hiv
major cardiovascular events,eventos cardiovasculares mayores,eventos cardiovasculares maiores,hiv
unstable angina,angina inestable,angina instável,hiv
hospitalization for unstable angina,hospitalización por angina inestable,hospitalização por angina instável,hiv
fewer major cardiovascular events,menos eventos cardiovasculares mayores,menos eventos cardiovasculares maiores,hiv
independent monitoring board,comité de monitoreo independiente,comitê de monitoramento independente,hiv
evidence of benefit,evidencia de beneficio,evidência de benefício,hiv
muscle-related,muscular,relacionado aos músculos,hiv
standard criteria for treatment,criterios estándar de tratamiento,critérios padrão de tratamento,hiv
larger than predicted,mayor de lo previsto,maior que o previsto,hiv
reduce inflammation,reducir la inflamación,reduzir a inflamação,hiv
access in different health systems,acceso en distintos sistemas de salud,acesso em diferentes sistemas de saúde,hiv
other medications,otros medicamentos,outros medicamentos,hiv
traditional factors,factores tradicionales,fatores tradicionais,hiv
widely prescribed,ampliamente recetado,amplamente prescrito,hiv
daily pitavastatin,pitavastatina diaria,pitavastatina diária,hiv
cardiovascular risk in adults,riesgo cardiovascular en adultos,risco cardiovascular em adultos,hiv
myalgic encephalomyelitis,encefalomielitis miálgica,encefalomielite miálgica,mecfs
chronic fatigue syndrome,síndrome de fatiga crónica,síndrome da fadiga crônica,mecfs
post-infectious ME/CFS,EM/SFC posinfeccioso,EM/SFC pós-infecciosa,mecfs
profound fatigue,fatiga profunda,fadiga profunda,mecfs
symptoms after exertion,síntomas después del esfuerzo,sintomas após esforço,mecfs
cognitive difficulties,dificultades cognitivas,dificuldades cognitivas,mecfs
autonomic nervous system,sistema nervioso autónomo,sistema nervoso autônomo,mecfs
viral or bacterial infection,infección viral o bacteriana,infecção viral ou bacteriana,mecfs
biological mechanisms,mecanismos biológicos,mecanismos biológicos,mecfs
underlying disease,enfermedad subyacente,doença subjacente,mecfs
therapeutic targets,dianas terapéuticas,alvos terapêuticos,mecfs
multidisciplinary team,equipo multidisciplinario,equipe multidisciplinar,mecfs
healthy controls,controles sanos,controles saudáveis,mecfs
rigorous screening,evaluación rigurosa,triagem rigorosa,mecfs
functional magnetic resonance imaging,resonancia magnética funcional,ressonância magnética funcional,mecfs
physical performance tests,pruebas de rendimiento físico,testes de desempenho físico,mecfs
autonomic testing,pruebas autonómicas,testes autonômicos,mecfs
spinal-fluid analyses,análisis de líquido cefalorraquídeo,análises de líquido cefalorraquidiano,mecfs
skin and muscle biopsies,biopsias de piel y músculo,biópsias de pele e músculo,mecfs
metabolic chambers,cámaras metabólicas,câmaras metabólicas,mecfs
gut microbiome,microbioma intestinal,microbioma intestinal,mecfs
cardiopulmonary exercise testing,prueba de ejercicio cardiopulmonar,teste de exercício cardiopulmonar,mecfs
deep phenotyping,fenotipado profundo,fenotipagem profunda,mecfs
temporal-parietal junction,unión temporoparietal,junção temporoparietal,mecfs
motor cortex,corteza motora,córtex motor,mecfs
experimental tasks,tareas experimentales,tarefas experimentais,mecfs
